宝可梦id,宝可梦名字,稀有度
number,string,number
pokemonId,pokemonName,rarity
1427,卷卷耳,3
1045,霸王花,3
1320,吼吼鲸,3
1631,熔蚁兽,3
1559,滑滑小子,3
1036,皮可西,3
1435,坦克臭鼬,3
1123,飞天螳螂,3
1361,雪童子,3
1622,泥偶小人,3
1227,盔甲鸟,3
1522,斑斑马,3
1629,秃鹰丫头,3
1185,树才怪,3
1562,哭哭面具,3
1122,吸盘魔偶,3
1621,赤面龙,3
1396,姆克儿,2
1287,懒人獭,2
1108,大舌头,2
1548,百合根娃娃,2
1590,哎呀球菇,2
1273,橡实果,2
1118,角金鱼,2
1580,鸭宝宝,2
1170,灯笼鱼,2
1322,呆火驼,2
1636,燃烧虫,2
1607,烛光灵,2
1056,猴怪,2
1532,搬运小匠,2
1066,腕力,2
1039,胖丁,2
1280,拉鲁拉丝,2
1175,波克比,2
1029,尼多兰,2
1032,尼多朗,2
1543,百足蜈蚣,2
1415,三蜜蜂,2
1048,毛球,2
1978,冰雪穿山鼠,2
1363,海豹球,2
1328,大颚蚁,2
1343,天秤偶,2
1104,卡拉卡拉,2
1304,可可多拉,2
1597,种子铁球,2
1599,齿轮儿,2
1179,咩利羊,2
1100,雷电球,2
1081,小磁怪,2
1261,土狼犬,2
1434,臭鼬噗,2
1551,黑眼鳄,2
1084,嘟嘟,2
1017,比比鸟,2
1524,石丸子,2
1140,化石盔,2
1679,独剑鞘,2
1092,鬼斯,2
1355,夜巡灵,2
1527,滚滚蝙蝠,2
1574,哥德宝宝,2
1577,单卵细胞球,2
1102,蛋蛋,2
1333,青绵鸟,2
1782,心鳞宝,2
1050,地鼠,1
1052,喵喵,1
1211,千针鱼,1
1021,烈雀,1
1173,皮宝宝,1
1069,喇叭芽,1
1043,走路草,1
1013,独角虫,1
1010,绿毛虫,1
1132,百变怪,1
1235,图图犬,1
1311,正电拍拍,1
1060,蚊香蝌蚪,1
1023,阿柏蛇,1
1037,六尾,1
1016,波波,1
1019,小拉达,1
1046,派拉斯,1
1976,黑夜小拉达,1
1041,超音蝠,1
1980,坏喵喵,1
1074,小拳石,1
1312,负电拍拍,1
1129,鲤鱼王,1
1116,墨海马,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
