自增长id,任务类型(1是每日任务，每日刷新;2是成就任务，只能完成一次 3.引导任务 4.关卡奖励),是否为初始任务(1为初始任务),后置任务(;分割),任务名#加颜色｛0｝读取任务数量列（LimitedNum）,任务描述(文字描述，包含了任务要求文本)#加颜色，｛0｝读取任务数量列（LimitedNum）,"任务要求类别（1.精灵升级次数（1,3) 2. 挑战BOSS次数(1, 3.扭蛋次数(1,2,3) 4.特殊副本通过次数(1,2,3) 5.竞技场胜利次数(1,2,3) 6.战斗力累计(2) 7.获得不同的精灵(2) 8.抓宠中心参加次数(1,3) 9. 爬塔层数(2) 10.通过关卡(2,3) 11.任意精灵到达的星数 12.任意携带品到达的等级数(2) 13.任意1个徽章到达等级数(2) 14.公会捐献次数(1,2) 15.个体值洗练次数(1,3) 16.个体值平均值数(2) 17.地底挑战胜利次数(1,3) 18.获得的角色数(2) 101.进化累计次数(3) 102.1个精灵努力值总数(2) 103.任意1个亲密度等级数(2) 104.任意1个精灵穿戴技能数(3) 105.性格洗练次数(3) 106.阵型升级次数(3) 107.任意精灵穿戴携带品数(3) 108.精灵上阵数(3) 109.使用快速战斗累计次数(3) 110.商店刷新累计次数(1,3) 111.放生精灵个数(1,3) 112.累计签到次数（1,3) 113.加入公会次数（创建或加别人公会都算）(3) 114.使用道具升级亲密度等级（3） 115.使用道具增加努力值点数（3） 116.携带品升级次数（3） 117.技能学习次数(3) 118.切磋或掠夺次数（3） 119.申请添加好友次数（3）120.玩家等级数到达X  130.参加战斗地铁次数大X次 131.战斗地铁等级达到X级 132.捕获小精灵 133.孵蛋 134.称号 135.天赋 136.跟随 137.碎片兑换 138.通过关卡（关卡奖励）",任务要求数量或通过关卡ID(任务要求完成的数量或通过关卡ID),获得活跃度,是否重新记录（填1时，之前做任务的数最多到填1的数据，之后重新记录）,任务奖励1,任务奖励2,任务奖励3,"跳转界面编号(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip，22:地图选择，71：战斗地铁)",引导起始id,可见等级（小于此等级，当前任务不可见）,,,,,,,,,,,
number,number,number,string,string,string,number,number,number,number,string,string,string,number,number,number,,,,,,,,,,,
id,type,number,NextQuestID,QuestTitle,QuestInformation,LimitedType,LimitedNum,active,ReSet,Reward1,Reward2,Reward3,GoToNumber,TeachStartId,visual,,,,,,,,,,,
1,1,1,,天天签到,签到{0}次,112,1,10,,3;15000,13011;1,8;5000,37,,1,,,,,,,,,,,
2,1,1,,升级提升,精灵升{0}级,1,1,10,,1;20000,10012;2,8;5000,2,,1,,,,,,,,,,,
3,1,1,,挑战关卡,挑战成功关卡{0}次,2,5,10,,1;10000,10011;5,8;10000,1,,1,,,,,,,,,,,
4,1,1,,扭蛋达人,进行{0}次扭蛋,3,6,10,,6;100,13011;1,8;10000,3,,1,,,,,,,,,,,
5,1,1,,特殊挑战,通过{0}次特殊副本,4,2,10,,6;100,13004;1,8;30000,5,,23,,,,,,,,,,,
6,1,1,,野外捕捉,进入{0}次狩猎场,8,1,5,,1;20000,10012;2,8;10000,22,,15,,,,,,,,,,,
7,1,1,,冠军之路,竞技场胜利{0}次,5,2,10,,6;100,13001;1,8;30000,4,,13,,,,,,,,,,,
8,1,1,,运气资质,洗练{0}次个体值,15,1,10,,6;100,13001;1,8;30000,2,,32,,,,,,,,,,,
9,1,1,,建设家园,公会捐献{0}次,14,5,5,,12001;20,3;10000,8;20000,11,,28,,,,,,,,,,,
10,1,1,,地底探险,地底挑战胜利{0}次,17,5,10,,1;50000,13011;1,8;30000,6,,33,,,,,,,,,,,
11,1,1,,精心挑选,刷新{0}次商店,110,5,10,,6;20,1;20000,8;5000,7,,10,,,,,,,,,,,
12,1,1,,获精灵币,放生{0}个精灵,111,5,10,,6;20,3;10000,8;20000,2,,10,,,,,,,,,,,
13,1,1,,升级装备,升级{0}次携带品,116,2,10,,3;20000,1;20000,8;5000,2,,15,,,,,,,,,,,
100,3,1,101,进行1次高级扭蛋,进行1次高级扭蛋,3,1,,,1;10000,,,3,,,,,,,,,,,,,
101,3,,102,上阵{0}个精灵,上阵{0}个精灵,108,2,,,8;5000,,,2,,,,,,,,,,,,,
102,3,,103,到达第{0}关,到达第{0}关,10,2,,,8;5000,,,1,2,,,,,,,,,,,,
103,3,,104,进行1次普通扭蛋,进行1次普通扭蛋,3,2,,,3;1200,,,3,121,,,,,,,,,,,,
104,3,,105,上阵{0}个精灵,上阵{0}个精灵,108,3,,,6;20,,,2,,,,,,,,,,,,,
105,3,,106,精灵累计达到{0}级,精灵累计升{0}级,1,4,,,6;20,,,2,1001,,,,,,,,,,,,
106,3,,107,到达第{0}关,到达第{0}关,10,3,,,3;10000,,,1,1,,,,,,,,,,,,
107,3,,108,玩家等级达到{0}级,玩家等级达到{0}级,120,5,,,13011;5,,,1,1,,,,,,,,,,,,
108,3,,109,到达第{0}关,到达第{0}关,10,5,,,13004;10,,,1,1,,,,,,,,,,,,
109,3,,110,精灵累计达到{0}级,精灵累计升{0}级,1,8,,,1;3000,,,2,1001,,,,,,,,,,,,
110,3,,111,到达第{0}关,到达第{0}关,10,7,,,3;30000,,,1,1,,,,,,,,,,,,
111,3,,112,亲密度升级{0}次,喂养亲密度升级{0}次,114,1,,,12246;2,,,2,21,,,,,,,,,,,,
112,3,,113,提升努力值{0}点,使用道具提升努力值{0}点,115,1,,1,1;400000,,,2,41,,,,,,,,,,,,
113,3,,114,到达第{0}关,到达第{0}关,10,10,,,601093;40,,,1,1,,,,,,,,,,,,
114,3,,115,进行{0}次碎片兑换,进行{0}次碎片兑换,137,1,,,6;20,,,1,47,,,,,,,,,,,,
115,3,,116,精灵累计达到{0}级,精灵累计升{0}级,1,12,,,13011;5,,,2,11,,,,,,,,,,,,
116,3,,117,玩家等级达到{0}级,玩家等级达到{0}级,120,12,,,1;500000,,,1,1,,,,,,,,,,,,
117,3,,118,到达第{0}关,到达第{0}关,10,13,,,400000;1,,,1,1,,,,,,,,,,,,
118,3,,119,亲密度升级{0}次,喂养亲密度升级{0}次,114,2,,1,3;50000,,,2,21,,,,,,,,,,,,
119,3,,120,精灵学习{0}个技能,精灵学习{0}个技能,117,1,,,12151;20,,,2,61,,,,,,,,,,,,
120,3,,121,精灵累计达到{0}级,精灵累计升{0}级,1,15,,,13011;5,,,2,11,,,,,,,,,,,,
121,3,,122,到达第{0}关,到达第{0}关,10,16,,,12246;2,,,1,1,,,,,,,,,,,,
122,3,,123,提升努力值{0}点,使用道具提升努力值{0}点,115,1,,1,3;80000,,,2,41,,,,,,,,,,,,
123,3,,124,玩家等级达到{0}级,玩家等级达到{0}级,120,14,,,8;10000,,,1,1,,,,,,,,,,,,
124,3,,125,精灵累计达到{0}级,精灵累计升{0}级,1,17,,,12003;5,,,2,11,,,,,,,,,,,,
125,3,,126,到达第{0}关,到达第{0}关,10,20,,,12002;10,,,1,1,,,,,,,,,,,,
126,3,,127,亲密度升级{0}次,喂养亲密度升级{0}次,114,3,,1,12002;15,,,2,21,,,,,,,,,,,,
127,3,,128,精灵累计达到{0}级,精灵累计升{0}级,1,19,,,12151;50,,,2,11,,,,,,,,,,,,
128,3,,129,提升努力值{0}点,使用道具提升努力值{0}点,115,1,,1,12246;3,,,2,41,,,,,,,,,,,,
129,3,,130,到达第{0}关,到达第{0}关,10,25,,,400000;1,,,1,1,,,,,,,,,,,,
130,3,,131,玩家等级达到{0}级,玩家等级达到{0}级,120,16,,,8;10000,,,1,1,,,,,,,,,,,,
131,3,,132,精灵累计达到{0}级,精灵累计升{0}级,1,21,,,12151;50,,,2,11,,,,,,,,,,,,
132,3,,133,上阵{0}个精灵,上阵{0}个精灵,108,4,,,1;3400,,,2,,,,,,,,,,,,2,241
133,3,,134,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;20,,,1,161,,,,,,,,,,,,
134,3,,135,到达第{0}关,到达第{0}关,10,30,,,12108;15,,,1,1,,,,,,,,,,,,
135,3,,136,佩戴{0}个称号,佩戴{0}个称号,134,1,,,8;10000,,,17,701,,,,,,,,,,,,
136,3,,137,放生{0}个宠物,放生{0}个宠物,111,1,,,11911;1,,,2,241,,,,,,,,,,,,
137,3,,138,升级{0}次携带品,升级{0}次携带品,116,1,,1,8;10000,,,2,71,,,,,,,,,,,,
138,3,,139,佩戴{0}次携带品,佩戴{0}次携带品,107,1,,,6;20,,,2,81,,,,,,,,,,,,
139,3,,140,精灵累计达到{0}级,精灵累计升{0}级,1,23,,,1;3500,,,2,11,,,,,,,,,,,,
140,3,,141,孵化{0}只精灵,孵化{0}只精灵,133,1,,,8;20000,,,9,601,,,,,,,,,,,,
141,3,,142,到达第{0}关,到达第{0}关,10,35,,,6;20,,,1,1,,,,,,,,,,,,
142,3,,143,跟随{0}只精灵,跟随{0}只精灵,136,2,,1,8;50000,,,2,401,,,,,,,,,,,,
143,3,,144,提升努力值{0}点,使用道具提升努力值{0}点,115,2,,1,6;20,,,2,41,,,,,,,,,,,,
144,3,,145,精灵累计达到{0}级,精灵累计升{0}级,1,25,,,3;2000,,,2,11,,,,,,,,,,,,
145,3,,146,精灵学习{0}个技能,精灵学习{0}个技能,117,2,,,8;60000,,,2,61,,,,,,,,,,,,
146,3,,147,到达第{0}关,到达第{0}关,10,40,,,8;60000,,,1,1,,,,,,,,,,,,
147,3,,148,学习{0}个天赋,学习{0}个天赋,135,1,,,1;3700,,,2,501,,,,,,,,,,,,
148,3,,149,亲密度升级{0}次,喂养亲密度升级{0}次,114,2,,1,1;3800,,,2,21,,,,,,,,,,,,
