id,进化等级,阶段,当前属性加成倍数,升下1级消耗道具(物品;数量|物品;数量),升下1级消耗货币
number,number,number,double,string,string
id,level,stage,abliUp,costItem,price
0,0,1,,12111;100|12151;50|12152;5,1;100000
1,1,1,0.02,12111;100|12151;50|12152;5,1;100000
2,2,1,0.03,12111;100|12151;50|12152;5,1;100000
3,3,1,0.04,12111;100|12151;50|12152;5,1;100000
4,4,1,0.05,12111;100|12151;50|12152;5,1;100000
5,5,1,0.06,12111;100|12151;50|12152;5,1;100000
6,6,1,0.07,12111;100|12151;50|12152;5,1;100000
7,7,1,0.08,12111;100|12151;50|12152;5,1;100000
8,8,1,0.09,12111;100|12151;50|12152;5,1;100000
9,9,1,0.1,12111;100|12151;50|12152;5,1;100000
10,10,1,0.11,12111;150|12151;100|12152;10,1;100000
11,1,2,0.12,12111;150|12151;100|12152;10,1;200000
12,2,2,0.13,12111;150|12151;100|12152;10,1;200000
13,3,2,0.14,12111;150|12151;100|12152;10,1;200000
14,4,2,0.15,12111;150|12151;100|12152;10,1;200000
15,5,2,0.16,12111;150|12151;100|12152;10,1;200000
16,6,2,0.17,12111;150|12151;100|12152;10,1;200000
17,7,2,0.18,12111;150|12151;100|12152;10,1;200000
18,8,2,0.19,12111;150|12151;100|12152;10,1;200000
19,9,2,0.2,12111;150|12151;100|12152;10,1;200000
20,10,2,0.21,12111;200|12151;150|12152;15,1;300000
21,1,3,0.22,12111;200|12151;150|12152;15,1;300000
22,2,3,0.23,12111;200|12151;150|12152;15,1;300000
23,3,3,0.24,12111;200|12151;150|12152;15,1;300000
24,4,3,0.25,12111;200|12151;150|12152;15,1;300000
25,5,3,0.26,12111;200|12151;150|12152;15,1;300000
26,6,3,0.27,12111;200|12151;150|12152;15,1;300000
27,7,3,0.28,12111;200|12151;150|12152;15,1;300000
28,8,3,0.29,12111;200|12151;150|12152;15,1;300000
29,9,3,0.3,12111;200|12151;150|12152;15,1;300000
30,10,3,0.31,12111;250|12151;200|12152;20,1;300000
31,1,4,0.32,12111;250|12151;200|12152;20,1;400000
32,2,4,0.33,12111;250|12151;200|12152;20,1;400000
33,3,4,0.34,12111;250|12151;200|12152;20,1;400000
34,4,4,0.35,12111;250|12151;200|12152;20,1;400000
35,5,4,0.36,12111;250|12151;200|12152;20,1;400000
36,6,4,0.37,12111;250|12151;200|12152;20,1;400000
37,7,4,0.38,12111;250|12151;200|12152;20,1;400000
38,8,4,0.39,12111;250|12151;200|12152;20,1;400000
39,9,4,0.4,12111;250|12151;200|12152;20,1;400000
40,10,4,0.41,12111;300|12151;250|12152;25,1;400000
41,1,5,0.42,12111;300|12151;250|12152;25,1;500000
42,2,5,0.43,12111;300|12151;250|12152;25,1;500000
43,3,5,0.44,12111;300|12151;250|12152;25,1;500000
44,4,5,0.45,12111;300|12151;250|12152;25,1;500000
45,5,5,0.46,12111;300|12151;250|12152;25,1;500000
46,6,5,0.47,12111;300|12151;250|12152;25,1;500000
47,7,5,0.48,12111;300|12151;250|12152;25,1;500000
48,8,5,0.49,12111;300|12151;250|12152;25,1;500000
49,9,5,0.5,12111;300|12151;250|12152;25,1;500000
50,10,5,0.51,12111;350|12151;300|12152;30,1;500000
51,1,6,0.52,12111;350|12151;300|12152;30,1;600000
52,2,6,0.53,12111;350|12151;300|12152;30,1;600000
53,3,6,0.54,12111;350|12151;300|12152;30,1;600000
54,4,6,0.55,12111;350|12151;300|12152;30,1;600000
55,5,6,0.56,12111;350|12151;300|12152;30,1;600000
56,6,6,0.57,12111;350|12151;300|12152;30,1;600000
57,7,6,0.58,12111;350|12151;300|12152;30,1;600000
58,8,6,0.59,12111;350|12151;300|12152;30,1;600000
59,9,6,0.6,12111;350|12151;300|12152;30,1;600000
60,10,6,0.61,12111;400|12151;350|12152;35,1;600000
61,1,7,0.62,12111;400|12151;350|12152;35,1;700000
62,2,7,0.63,12111;400|12151;350|12152;35,1;700000
63,3,7,0.64,12111;400|12151;350|12152;35,1;700000
64,4,7,0.65,12111;400|12151;350|12152;35,1;700000
65,5,7,0.66,12111;400|12151;350|12152;35,1;700000
66,6,7,0.67,12111;400|12151;350|12152;35,1;700000
67,7,7,0.68,12111;400|12151;350|12152;35,1;700000
68,8,7,0.69,12111;400|12151;350|12152;35,1;700000
69,9,7,0.7,12111;400|12151;350|12152;35,1;700000
70,10,7,0.71,12111;450|12151;400|12152;40,1;700000
71,1,8,0.72,12111;450|12151;400|12152;40,1;800000
72,2,8,0.73,12111;450|12151;400|12152;40,1;800000
73,3,8,0.74,12111;450|12151;400|12152;40,1;800000
74,4,8,0.75,12111;450|12151;400|12152;40,1;800000
75,5,8,0.76,12111;450|12151;400|12152;40,1;800000
76,6,8,0.77,12111;450|12151;400|12152;40,1;800000
77,7,8,0.78,12111;450|12151;400|12152;40,1;800000
78,8,8,0.79,12111;450|12151;400|12152;40,1;800000
79,9,8,0.8,12111;450|12151;400|12152;40,1;800000
80,10,8,0.81,12111;500|12151;450|12152;45,1;800000
81,1,9,0.82,12111;500|12151;450|12152;45,1;900000
82,2,9,0.83,12111;500|12151;450|12152;45,1;900000
83,3,9,0.84,12111;500|12151;450|12152;45,1;900000
84,4,9,0.85,12111;500|12151;450|12152;45,1;900000
85,5,9,0.86,12111;500|12151;450|12152;45,1;900000
86,6,9,0.87,12111;500|12151;450|12152;45,1;900000
87,7,9,0.88,12111;500|12151;450|12152;45,1;900000
88,8,9,0.89,12111;500|12151;450|12152;45,1;900000
89,9,9,0.9,12111;500|12151;450|12152;45,1;900000
90,10,9,0.91,12111;550|12151;500|12152;50,1;900000
91,1,10,0.92,12111;550|12151;500|12152;50,1;1000000
92,2,10,0.93,12111;550|12151;500|12152;50,1;1000000
93,3,10,0.94,12111;550|12151;500|12152;50,1;1000000
94,4,10,0.95,12111;550|12151;500|12152;50,1;1000000
95,5,10,0.96,12111;550|12151;500|12152;50,1;1000000
96,6,10,0.97,12111;550|12151;500|12152;50,1;1000000
97,7,10,0.98,12111;550|12151;500|12152;50,1;1000000
98,8,10,0.99,12111;550|12151;500|12152;50,1;1000000
99,9,10,1,12111;550|12151;500|12152;50,1;1000000
100,10,10,1.01,,
