自增长ID,赛区（1王者赛区，2大师赛区，3高手赛区，4普通赛区，5入门赛区，6新手赛区）,胜利次数,对应等级（1王者级，2大师级，3钻石I，4钻石II，5钻石III，6钻石IV，7钻石V，8铂金I，9铂金II，10铂金III，11铂金IV，12铂金V，13黄金I，14黄金II，15黄金III，16黄金IV，17黄金V，18白银I，19白银II，20白银III，21白银IV，22白银V，23青铜I，24青铜II，25青铜III，26青铜IV，27青铜V）,敌方宝可梦（此处引用 怪物能力 表编号6000000之后的部分 ）
number,number,number,number,number
ID,Division,Victory,CorresLv,enemyId
1,1,0,23,6000000
2,1,1,21,6000001
3,1,2,19,6000002
4,1,3,17,6000003
5,1,4,15,6000004
6,1,5,13,6000005
7,1,6,11,6000006
8,1,7,9,6000007
9,1,8,7,6000008
10,1,9,5,6000009
11,1,10,4,6000010
12,2,0,27,6000011
13,2,1,26,6000012
14,2,2,24,6000013
15,2,3,22,6000014
16,2,4,21,6000015
17,2,5,19,6000016
18,2,6,17,6000017
19,2,7,15,6000018
20,2,8,13,6000019
21,2,9,11,6000020
22,2,10,9,6000021
23,3,0,27,6000022
24,3,1,26,6000023
25,3,2,25,6000024
26,3,3,24,6000025
27,3,4,23,6000026
28,3,5,22,6000027
29,3,6,21,6000028
30,3,7,20,6000029
31,3,8,19,6000030
32,3,9,18,6000031
33,3,10,17,6000032
34,4,0,27,6000033
35,4,1,26,6000034
36,4,2,26,6000035
37,4,3,25,6000036
38,4,4,25,6000037
39,4,5,24,6000038
40,4,6,23,6000039
41,4,7,22,6000040
42,4,8,22,6000041
43,4,9,21,6000042
44,4,10,20,6000043
45,5,0,27,6000044
46,5,1,27,6000045
47,5,2,26,6000046
48,5,3,26,6000047
49,5,4,26,6000048
50,5,5,25,6000049
51,5,6,25,6000050
52,5,7,25,6000051
53,5,8,24,6000052
54,5,9,24,6000053
55,5,10,23,6000054
56,6,0,27,6000055
57,6,1,27,6000056
58,6,2,26,6000057
59,6,3,26,6000058
60,6,4,26,6000059
61,6,5,25,6000060
62,6,6,25,6000061
63,6,7,25,6000062
64,6,8,24,6000063
65,6,9,24,6000064
66,6,10,23,6000065
