自增长ID,备注,奖励等级（1王者级，2大师级，3钻石I，4钻石II，5钻石III，6钻石IV，7钻石V，8铂金I，9铂金II，10铂金III，11铂金IV，12铂金V，13黄金I，14黄金II，15黄金III，16黄金IV，17黄金V，18白银I，19白银II，20白银III，21白银IV，22白银V，23青铜I，24青铜II，25青铜III，26青铜IV，27青铜V）,每日奖励（id;数量|id;数量）,每周奖励（id;数量|id;数量）,下一级,上一级,晋级需要战斗总次数,晋级需要战斗胜利次数,奖牌
number,string,number,string,string,number,number,number,number,number
ID,dec,name,DayReward,WeekReward,nextLv,proLv,needBattle,needBattleWin,medal
1,王者级,1,19003;1000|1;100000,2;6000|19003;4000|1;1000000,,,,,1
2,大师级,2,19003;900|1;95000,2;5000|19003;3600|1;900000,,3,5,3,2
3,钻石I,3,19003;800|1;90000,2;4400|19003;3200|1;700000,2,4,5,3,3
4,钻石II,4,19003;775|1;88000,2;4300|19003;3100|1;680000,3,5,3,2,3
5,钻石III,5,19003;750|1;86000,2;4200|19003;3000|1;650000,4,6,3,2,3
6,钻石IV,6,19003;725|1;84000,2;4100|19003;2900|1;600000,5,7,3,2,3
7,钻石V,7,19003;700|1;82000,2;4000|19003;2800|1;550000,6,8,3,2,3
8,铂金I,8,19003;650|1;80000,2;3500|19003;2600|1;500000,7,9,5,3,4
9,铂金II,9,19003;625|1;78000,2;3400|19003;2500|1;480000,8,10,3,2,4
10,铂金III,10,19003;600|1;74000,2;3300|19003;2400|1;450000,9,11,3,2,4
11,铂金IV,11,19003;575|1;72000,2;3200|19003;2300|1;440000,10,12,3,2,4
12,铂金V,12,19003;550|1;71000,2;2800|19003;2200|1;420000,11,13,3,2,4
13,黄金I,13,19003;500|1;70000,2;2400|19003;2000|1;400000,12,14,5,3,5
14,黄金II,14,19003;475|1;68000,2;2300|19003;1900|1;380000,13,15,3,2,5
15,黄金III,15,19003;450|1;67000,2;2200|19003;1800|1;350000,14,16,3,2,5
16,黄金IV,16,19003;425|1;65000,2;2100|19003;1700|1;300000,15,17,3,2,5
17,黄金V,17,19003;400|1;64000,2;2000|19003;1600|1;280000,16,18,3,2,5
18,白银I,18,19003;350|1;60000,2;1600|19003;1400|1;200000,17,19,5,3,6
19,白银II,19,19003;325|1;58000,2;1500|19003;1300|1;190000,18,20,3,2,6
20,白银III,20,19003;300|1;56000,2;1400|19003;1200|1;180000,19,21,3,2,6
21,白银IV,21,19003;275|1;54000,2;1300|19003;1100|1;170000,20,22,3,2,6
22,白银V,22,19003;250|1;52000,2;1200|19003;1000|1;160000,21,23,3,2,6
23,青铜I,23,19003;200|1;50000,2;1000|19003;800|1;150000,22,24,5,3,7
24,青铜II,24,19003;175|1;45000,2;900|19003;700|1;140000,23,25,3,2,7
25,青铜III,25,19003;150|1;40000,2;800|19003;600|1;130000,24,26,3,2,7
26,青铜IV,26,19003;125|1;35000,2;700|19003;500|1;120000,25,27,3,2,7
27,青铜V,27,19003;100|1;30000,2;600|19003;400|1;100000,26,,3,2,7
