充值自增长ID(按这个排序),含钻石数,价格,增加的vip经验,关联ID（神奇商店表）
number,string,string,number,number
ID,Diamonds,Price,AddVip,MagicID
1,30000,6,75000,
2,150000,30,75000,
3,250000,50,75000,
4,500000,100,75000,
5,1000000,200,75000,
6,2500000,500,75000,
7,5000000,1000,75000,
8,10000000,2000,75000,
9,0,30,75000,
10,0,98,75000,
11,0,1,1,
12,0,998,75000,
13,0,49,75000,
14,0,688,75000,
15,0,28,75000,
20,0,6,75000,1
21,0,30,75000,2
22,0,6,75000,3
23,0,30,75000,4
24,0,6,75000,5
25,0,30,75000,6
26,0,6,75000,7
27,0,6,75000,8
28,0,30,75000,9
29,0,30,75000,10
30,0,6,75000,11
31,0,98,75000,12
32,0,6,75000,13
33,0,30,75000,14
34,0,6,75000,15
35,0,30,75000,16
36,0,6,75000,17
37,0,30,75000,18
38,0,6,75000,19
39,0,6,75000,20
40,0,60,75000,21
41,0,60,75000,22
42,0,6,75000,23
43,0,98,75000,24
56,0,6,75000,
57,0,30,75000,
58,0,98,75000,
59,0,168,75000,
60,0,328,75000,
61,0,648,75000,
