"推荐ID(顺序是先行，再列，（第1行:1，2.第二行:3,4)",分类1,分类2,宝可梦id
number,number,number,number
id,type1,type2,elfId
1,1,1,1448
2,1,1,1131
3,1,1,1103
4,1,1,1466
5,1,1,1376
6,1,1,1149
11,1,2,1006
12,1,2,1009
13,1,2,1003
14,1,2,1462
15,1,2,1208
16,1,2,1149
21,1,3,1059
22,1,3,1230
23,1,3,1549
24,1,3,1026
25,1,3,1169
26,1,3,1142
31,1,4,1026
32,1,4,1094
33,1,4,1130
34,1,4,1142
35,1,4,1149
36,1,4,1612
41,1,5,1143
42,1,5,1242
43,1,5,1208
44,1,5,1376
45,1,5,1130
46,1,5,1612
51,2,1,1146
52,2,1,1144
53,2,1,1145
54,2,1,1376
55,2,1,1380
56,2,1,1381
61,2,2,1006
62,2,2,1009
63,2,2,1003
64,2,2,1149
65,2,2,1380
66,2,2,1381
71,2,3,1244
72,2,3,1245
73,2,3,1065
74,2,3,1243
75,2,3,1380
76,2,3,1381
81,2,4,1144
82,2,4,1245
83,2,4,1145
84,2,4,1243
85,2,4,1149
86,2,4,1130
91,2,5,1242
92,2,5,1145
93,2,5,1094
94,2,5,1243
95,2,5,1380
96,2,5,1381
101,3,1,1383
102,3,1,1382
103,3,1,1251
104,3,1,1151
105,3,1,1150
106,3,1,1384
111,3,2,1250
112,3,2,1382
113,3,2,1251
114,3,2,1249
115,3,2,1385
116,3,2,1384
121,3,3,1250
122,3,3,1382
123,3,3,1251
124,3,3,1249
125,3,3,1150
126,3,3,1151
131,3,4,1251
132,3,4,1385
133,3,4,1150
134,3,4,1151
135,3,4,1249
136,3,4,1384
141,3,5,1251
142,3,5,1382
143,3,5,1383
144,3,5,1384
145,3,5,1385
146,3,5,1385
