序号,组别,道具,价格,限购次数,充值Id,邮件标题,邮件描述
number,number,string,number,number,number,string,string
id,group,item,price,limit,rechargeId,title,desc
1,1,13012;1|10601;3,6,3,56,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
2,1,13012;5|10601;20,30,3,57,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
3,1,13012;20|10602;30,98,2,58,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
4,1,13012;30|10602;50,168,2,59,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
5,1,13012;75|10603;60,328,1,60,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
6,1,13012;120|10604;50|601150;200,648,1,61,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
7,2,13012;1|10089;15,6,3,56,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
8,2,13012;5|10089;100,30,3,57,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
9,2,13012;15|10089;150|12111;200,98,2,58,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
10,2,13012;25|10089;300|12111;400,168,2,59,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
11,2,13012;50|10089;600|12111;1000,328,1,60,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
12,2,10089;1000|12111;2000|601250;200,648,1,61,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
13,3,12201;4|15001;1,6,3,56,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
14,3,12201;20|15011;3|13066;1000,30,3,57,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
15,3,12201;65|15021;10|13066;3000,98,2,58,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
16,3,12201;100|15071;18|13066;5000,168,2,59,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
17,3,12201;200|15071;40|13066;10000,328,1,60,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
18,3,12201;300|13066;20000|601487;200,648,1,61,神兽商店获得,亲爱的冒险家，恭喜您获得了神兽商店的特殊奖励!!!
