序号,商品组ID,商品ID（道具；数量）,权重
number,number,string,number
ID,goods,good,weight
1,10001,601012;5,1
2,10001,601020;5,1
3,10001,601022;5,1
4,10001,601024;5,1
5,10001,601025;5,1
6,10001,601028;5,1
7,10001,601036;5,1
8,10001,601040;5,1
9,10001,601045;5,1
10,10001,601047;5,1
11,10001,601049;5,1
12,10001,601051;5,1
13,10001,601053;5,1
14,10001,601055;5,1
15,10001,601057;5,1
16,10001,601061;5,1
17,10001,601071;5,1
18,10001,601076;5,1
19,10002,601083;5,1
20,10002,601085;5,1
21,10002,601087;5,1
22,10002,601089;5,1
23,10002,601097;5,1
24,10002,601099;5,1
25,10002,601101;5,1
26,10002,601102;5,1
27,10002,601104;5,1
28,10002,601106;5,1
29,10002,601107;5,1
30,10002,601463;5,1
31,10002,601110;5,1
32,10002,601119;5,1
33,10002,601122;5,1
34,10002,601124;5,1
35,10002,601128;5,1
36,10002,601132;5,1
37,10003,601133;5,1
38,10003,601233;5,1
39,10003,601139;5,1
40,10003,601141;5,1
41,10003,601171;5,1
42,10003,601182;5,1
43,10003,601185;5,1
44,10003,601202;5,1
45,10003,601203;5,1
46,10003,601206;5,1
47,10003,601207;5,1
48,10003,601211;5,1
49,10003,601227;5,1
50,10003,601235;5,1
51,10003,601241;5,1
52,10003,601262;5,1
53,10003,601279;5,1
54,10003,601281;5,1
55,10004,601286;5,1
56,10004,601311;5,1
57,10004,601312;5,1
58,10004,601344;5,1
59,10004,601361;5,1
60,10004,601435;5,1
61,10004,601528;5,1
62,10004,601565;5,1
63,10004,601569;5,1
64,10004,601581;5,1
65,10004,601585;5,1
66,10004,601591;5,1
67,10004,601594;5,1
68,10004,601598;5,1
69,10004,601621;5,1
70,10004,601631;5,1
71,10004,601977;5,1
72,10004,601979;5,1
73,10004,601981;5,1
74,10005,601003;5,1
75,10005,601006;5,1
76,10005,601009;5,1
77,10005,601015;5,1
78,10005,601018;5,1
79,10005,601031;5,1
80,10005,601034;5,1
81,10005,601038;5,1
82,10005,601169;5,1
83,10005,601059;5,1
84,10005,601065;5,1
85,10005,601068;5,1
86,10005,601073;5,1
87,10006,601078;5,1
88,10006,601199;5,1
