对话ID,对话
number,String
ID,Content
1,战斗力只有5的渣渣。
2,战斗力爆表了
3,战斗力超神了
4,感觉到了强烈的小宇宙
5,感觉到了无敌的气息
6,快跑吧，逗比！
7,在我面前你就是渣渣
8,受死吧，妖怪
9,怪兽，哪里走
10,尝试一下毁灭的力量吧！
11,妖怪？人类？神仙？
12,对面是猴子派来的
13,打不过，跑吧
14,实力无法预估
15,德玛西亚之力
16,你也要来玩儿么？
17,很好玩的哟！
18,尝尝这个！
19,再烦我就打你哟！
20,你闻起来像……烧焦了一样！
21,别掉队吖！
22,那个……你看见过我的小熊吗？
23,死亡与我同在。
24,死亡，是一位严厉的女神。
25,为了恩赐，我愿意前往。
26,他们的死亡就要降临了。
27,不要考验我的耐心。
28,将他们冲散！
29,你必须跟着俺
30,俺知道该怎么做。
31,俺好像看见了……更绿的牧场……
32,你必须跟着俺
33,俺很生气，后果很严重！
34,没有什么可以击退我！
35,狂野，将使他们感到畏惧！
36,恩恩……懦夫的味道。
37,我们会有文明地捕食的。
38,我将指引您通往胜利。
39,让我为您指路。
40,你把这个称作有教养？
41,你关不住我的，训练师。
42,我可是纯天然的。
43,这儿的鼠辈可真多啊……
44,我还以为你从来都不会选我呢……
45,啊！（愤怒地）
46,嘿！快回来！
47,爸爸？妈妈？
48,来和我玩吧
49,我们这是要去哪？
50,真可怜，让我抱抱你……
51,好……好冷……（哆嗦着）
52,抓不着我！
53,保持冷静
54,很傻很天真吖
55,他们的命运被封印了。
56,我很乐意
57,是的……面包师
58,结冰吧！
59,你要来几发么？
60,我们走，我们走！
61,恶作剧的对象，是你哟
62,蒙多多多多多多！
63,非常荣幸。
64,步伐要平衡。
65,要来一杯么？
66,摇，摇，晃，摇
67,饮用之前摇一摇…
68,有谁需要地图么？
69,听候您的吩咐，主人
70,姐妹们，我先走一步……
71,为了内心的安宁。
