天数id,任务类型(1.关卡2.扭蛋3.特殊副本4.狩猎场5.竞技场6.个体值洗练7.地底挑战8.刷新商店9.放生精灵10.战斗地铁11.金额),任务名#加颜色｛0｝读取任务数量列（LimitedNum）,任务描述(文字描述，包含了任务要求文本)#加颜色，读取LimitedNum,任务要求数量（完成任务的条件）,单位,"跳转界面编号(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip，71：战斗地铁，72：道馆，65：精灵大赛)",任务完成奖励(id;数量|id;数量),任务完成数量,任务完成数量奖励(id:数量|id；数量)
number,number,string,string,number,string,number,string,number,string
id,type,QuestTitle,QuestInformation,LimitedNum,unit,GoToNumber,Reward,integral,Reward1
1,1,挑战关卡,打败{0}关,5,关,1,1;10000|12221;5|12151;5,10,10086;3|12003;100|12151;100
1,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12221;5|12151;5,25,10087;3|6;100|12151;50
1,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12221;5|12151;5,38,10089;20|12246;30|12152;5
1,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12221;5|12151;5,50,601517;40|12003;300|12151;200
1,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12221;5|12151;5,60,12241;30|12236;30
1,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12221;5|12151;5,70,13001;10||12152;20|6;500
1,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12221;5|12151;5,78,601319;140|10171;10|12152;30
1,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12221;5|12151;5,,
1,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12221;5|12151;5,,
1,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12221;5|12151;5,,
2,1,挑战关卡,打败{0}关,5,次,1,1;10000|12226;5|12231;5,,
2,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12226;5|12231;5,,
2,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12226;5|12231;5,,
2,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12226;5|12231;5,,
2,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12226;5|12231;5,,
2,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12226;5|12231;5,,
2,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12226;5|12231;5,,
2,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12226;5|12231;5,,
2,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12226;5|12231;5,,
2,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12226;5|12231;5,,
2,12,参加大赛,参加{0}次精灵大赛,1,次,65,1;10000|10040;100,,
2,13,前往道馆,挑战{0}次道馆,1,次,72,1;10000|12503;100,,
3,1,挑战关卡,打败{0}关,5,次,1,1;10000|12226;5|12231;5,,
3,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12226;5|12231;5,,
3,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12226;5|12231;5,,
3,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12226;5|12231;5,,
3,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12226;5|12231;5,,
3,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12226;5|12231;5,,
3,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12226;5|12231;5,,
3,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12226;5|12231;5,,
3,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12226;5|12231;5,,
3,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12226;5|12231;5,,
3,12,参加大赛,参加{0}次精灵大赛,1,次,65,1;10000|10040;100,,
3,13,前往道馆,挑战{0}次道馆,1,次,72,1;10000|12503;100,,
4,1,挑战关卡,打败{0}关,5,次,1,1;10000|12226;5|12231;5,,
4,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12226;5|12231;5,,
4,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12226;5|12231;5,,
4,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12226;5|12231;5,,
4,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12226;5|12231;5,,
4,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12226;5|12231;5,,
4,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12226;5|12231;5,,
4,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12226;5|12231;5,,
4,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12226;5|12231;5,,
4,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12226;5|12231;5,,
4,12,参加大赛,参加{0}次精灵大赛,1,次,65,1;10000|10040;100,,
4,13,前往道馆,挑战{0}次道馆,1,次,72,1;10000|12503;100,,
5,1,挑战关卡,打败{0}关,5,次,1,1;10000|12226;5|12231;5,,
5,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12226;5|12231;5,,
5,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12226;5|12231;5,,
5,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12226;5|12231;5,,
5,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12226;5|12231;5,,
5,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12226;5|12231;5,,
5,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12226;5|12231;5,,
5,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12226;5|12231;5,,
5,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12226;5|12231;5,,
5,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12226;5|12231;5,,
5,12,参加大赛,参加{0}次精灵大赛,1,次,65,1;10000|10040;100,,
5,13,前往道馆,挑战{0}次道馆,1,次,72,1;10000|12503;100,,
6,1,挑战关卡,打败{0}关,5,次,1,1;10000|12226;5|12231;5,,
6,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12226;5|12231;5,,
6,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12226;5|12231;5,,
6,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12226;5|12231;5,,
6,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12226;5|12231;5,,
6,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12226;5|12231;5,,
6,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12226;5|12231;5,,
6,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12226;5|12231;5,,
6,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12226;5|12231;5,,
6,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12226;5|12231;5,,
6,12,参加大赛,参加{0}次精灵大赛,1,次,65,1;10000|10040;100,,
6,13,前往道馆,挑战{0}次道馆,1,次,72,1;10000|12503;100,,
7,1,挑战关卡,打败{0}关,5,次,1,1;10000|12226;5|12231;5,,
7,2,扭蛋达人,进行{0}次扭蛋,6,次,3,1;10000|12226;5|12231;5,,
7,3,特殊挑战,通过{0}次特殊副本,2,次,5,1;10000|12226;5|12231;5,,
7,4,野外捕捉,进入{0}次狩猎场,1,次,8,1;10000|12226;5|12231;5,,
7,5,冠军之路,竞技场胜利{0}次,2,次,4,1;10000|12226;5|12231;5,,
7,7,地底探险,地底挑战胜利{0}次,5,次,6,1;10000|12226;5|12231;5,,
7,8,精心挑选,刷新{0}次商店,5,次,7,1;10000|12226;5|12231;5,,
7,9,获精灵币,放生{0}个精灵,5,个,2,1;10000|12226;5|12231;5,,
7,10,战斗地铁,参加{0}次战斗地铁,5,次,71,1;10000|12226;5|12231;5,,
7,11,充点小钱,每天充值满{0}金额,6,元,15,1;10000|12226;5|12231;5,,
7,12,参加大赛,参加{0}次精灵大赛,1,次,65,1;10000|10040;100,,
7,13,前往道馆,挑战{0}次道馆,1,次,72,1;10000|12503;100,,
