预览位置（1.钻石扭蛋，2.扭蛋十抽，3.工会商店，4.竞技商店，5宝可梦商店，6.秒杀专场商店）,"所在商店类型(1.学习机 2.公会商店 3.竞技场商店 4.宠物商店 5.特惠商店，6大赛商店，7道馆商店，8专场秒杀,9携带品）",购买次数限制(不填没限制）,"购买条件限制类型(不填没有,1:道馆声望)",购买条件限制数值,重置周期（天）不填为系统不自动刷新,起始时间,结束时间,商品id（道具id;数量）,购买价格（道具id；数量）,走马灯标记,周期标记(1为7天，2为30天，3为五折，4为七折，5为1折 不填为无),是否显示（0/null=显示，1=不显示）
number,number,number,number,number,number,string,string,string,string,number,number,number
id,type,countLimit,buyLimitType,buyLimitNumber,refreshCycle,startTime,dedTime,goods,price,notify,cycleNotify,display
1,1,1,,,,,,801046;1,10308;10,,,
2,1,1,,,,,,801047;1,10308;20,,,
3,1,1,,,,,,801048;1,10308;50,,,
4,1,1,,,,,,801049;1,10309;20,,,
5,1,1,,,,,,801050;1,10309;50,,,
6,1,1,,,,,,801096;1,10308;10,,,
7,1,1,,,,,,801097;1,10308;20,,,
8,1,1,,,,,,801098;1,10308;50,,,
9,1,1,,,,,,801099;1,10309;20,,,
10,1,1,,,,,,801100;1,10309;50,,,
11,1,1,,,,,,801146;1,10308;10,,,
12,1,1,,,,,,801147;1,10308;20,,,
13,1,1,,,,,,801148;1,10308;50,,,
14,1,1,,,,,,801149;1,10309;20,,,
15,1,1,,,,,,801150;1,10309;50,,,
16,1,1,,,,,,801196;1,10308;10,,,
17,1,1,,,,,,801197;1,10308;20,,,
18,1,1,,,,,,801198;1,10308;50,,,
19,1,1,,,,,,801199;1,10309;20,,,
20,1,1,,,,,,801200;1,10309;50,,,
21,1,1,,,,,,801246;1,10308;10,,,
22,1,1,,,,,,801247;1,10308;20,,,
23,1,1,,,,,,801248;1,10308;50,,,
24,1,1,,,,,,801249;1,10309;20,,,
25,1,1,,,,,,801250;1,10309;50,,,
26,1,1,,,,,,801296;1,10308;10,,,
27,1,1,,,,,,801297;1,10308;20,,,
28,1,1,,,,,,801298;1,10308;50,,,
29,1,1,,,,,,801299;1,10309;20,,,
30,1,1,,,,,,801300;1,10309;50,,,
31,1,1,,,,,,801326;1,10308;10,,,
32,1,1,,,,,,801327;1,10308;20,,,
33,1,1,,,,,,801328;1,10308;50,,,
34,1,1,,,,,,801329;1,10309;20,,,
35,1,1,,,,,,801330;1,10309;50,,,
36,1,1,,,,,,801356;1,10308;10,,,
37,1,1,,,,,,801357;1,10308;20,,,
38,1,1,,,,,,801358;1,10308;50,,,
39,1,1,,,,,,801359;1,10309;20,,,
40,1,1,,,,,,801360;1,10309;50,,,
41,1,1,,,,,,801396;1,10308;10,,,
42,1,1,,,,,,801397;1,10308;20,,,
43,1,1,,,,,,801398;1,10308;50,,,
44,1,1,,,,,,801399;1,10309;20,,,
