"科技类型(1:火,2:水,3:草,4:妖,5:暗,6:龙，7：冰，8:鬼)",等级,需要消耗贡献度,技能伤害加成(每个玩家单独的，离开公会在加入公会还原等级）
number,number,number,number
id,level,cost,AbilityDPS
1,0,400,800000
1,1,800,800001
1,2,1200,800002
1,3,2000,800003
1,4,2800,800004
1,5,4000,800005
1,6,5200,800006
1,7,6400,800007
1,8,8000,800008
1,9,9600,800009
1,10,11600,800010
1,11,13600,800011
1,12,16800,800012
1,13,20000,800013
1,14,23200,800014
1,15,26400,800015
1,16,30000,800016
1,17,34000,800017
1,18,40000,800018
1,19,48000,800019
1,20,,800020
2,0,400,810000
2,1,800,810001
2,2,1200,810002
2,3,2000,810003
2,4,2800,810004
2,5,4000,810005
2,6,5200,810006
2,7,6400,810007
2,8,8000,810008
2,9,9600,810009
2,10,11600,810010
2,11,13600,810011
2,12,16800,810012
2,13,20000,810013
2,14,23200,810014
2,15,26400,810015
2,16,30000,810016
2,17,34000,810017
2,18,40000,810018
2,19,48000,810019
2,20,,810020
3,0,400,820000
3,1,800,820001
3,2,1200,820002
3,3,2000,820003
3,4,2800,820004
3,5,4000,820005
3,6,5200,820006
3,7,6400,820007
3,8,8000,820008
3,9,9600,820009
3,10,11600,820010
3,11,13600,820011
3,12,16800,820012
3,13,20000,820013
3,14,23200,820014
3,15,26400,820015
3,16,30000,820016
3,17,34000,820017
3,18,40000,820018
3,19,48000,820019
3,20,,820020
4,0,400,830000
4,1,800,830001
4,2,1200,830002
4,3,2000,830003
4,4,2800,830004
4,5,4000,830005
4,6,5200,830006
4,7,6400,830007
4,8,8000,830008
4,9,9600,830009
4,10,11600,830010
4,11,13600,830011
4,12,16800,830012
4,13,20000,830013
4,14,23200,830014
4,15,26400,830015
4,16,30000,830016
4,17,34000,830017
4,18,40000,830018
4,19,48000,830019
4,20,,830020
5,0,400,840000
5,1,800,840001
5,2,1200,840002
5,3,2000,840003
5,4,2800,840004
5,5,4000,840005
5,6,5200,840006
5,7,6400,840007
5,8,8000,840008
5,9,9600,840009
5,10,11600,840010
5,11,13600,840011
5,12,16800,840012
5,13,20000,840013
5,14,23200,840014
5,15,26400,840015
5,16,30000,840016
5,17,34000,840017
5,18,40000,840018
5,19,48000,840019
5,20,,840020
6,0,400,850000
6,1,800,850001
6,2,1200,850002
6,3,2000,850003
6,4,2800,850004
6,5,4000,850005
6,6,5200,850006
6,7,6400,850007
6,8,8000,850008
6,9,9600,850009
6,10,11600,850010
6,11,13600,850011
6,12,16800,850012
6,13,20000,850013
6,14,23200,850014
6,15,26400,850015
6,16,30000,850016
6,17,34000,850017
6,18,40000,850018
6,19,48000,850019
6,20,,850020
7,0,400,860000
7,1,800,860001
7,2,1200,860002
7,3,2000,860003
7,4,2800,860004
7,5,4000,860005
7,6,5200,860006
7,7,6400,860007
7,8,8000,860008
7,9,9600,860009
7,10,11600,860010
7,11,13600,860011
7,12,16800,860012
7,13,20000,860013
7,14,23200,860014
7,15,26400,860015
7,16,30000,860016
7,17,34000,860017
7,18,40000,860018
7,19,48000,860019
7,20,,860020
8,0,400,870000
8,1,800,870001
8,2,1200,870002
8,3,2000,870003
8,4,2800,870004
8,5,4000,870005
8,6,5200,870006
8,7,6400,870007
8,8,8000,870008
8,9,9600,870009
8,10,11600,870010
8,11,13600,870011
8,12,16800,870012
8,13,20000,870013
8,14,23200,870014
8,15,26400,870015
8,16,30000,870016
8,17,34000,870017
8,18,40000,870018
8,19,48000,870019
8,20,,870020
