副本ID(不能和关卡重复),"类型(1:金币副本,2:经验副本,3:徽章副本,4:努力值副本,5:亲密度副本,6:超进化石副本,7进化石副本,8携带品副本)",战斗背景,副本名,限制等级（改成人物等级，人物等级>=X开启）,关卡可能掉落的道具，格式为 掉率;道具ID;数量|其它…,阵型,掉落预览(道具1;道具2;道具3),集字活动掉落(普通lootid;数量|lootid;数量）,中秋集字掉落(普通lootid;数量|lootid;数量）
number,number,number,string,number,string,number,string,string,string
id,type,bg,name,limitLevel,Reward,Formation,Preview,NormalCollectLoot,FestivalCollectLoot
10001,1,1,金币副本,23,100;1;1500000,1,1,10010004;1,10010008;1
10002,1,1,金币副本,40,100;1;2500000,1,1,10010004;1,10010008;1
10003,1,1,金币副本,60,100;1;4500000,1,1,10010004;1,10010008;1
10004,1,1,金币副本,80,100;1;8000000,1,1,10010004;1,10010008;1
10005,1,1,金币副本,100,100;1;12000000,1,1,10010004;1,10010008;1
10101,2,1,经验副本,23,100;3;200000,1,3,10010004;1,10010008;1
10102,2,1,经验副本,43,100;3;450000,1,3,10010004;1,10010008;1
10103,2,1,经验副本,63,100;3;800000,1,3,10010004;1,10010008;1
10104,2,1,经验副本,83,100;3;1250000,1,3,10010004;1,10010008;1
10105,2,1,经验副本,103,100;3;1800000,1,3,10010004;1,10010008;1
10201,5,1,亲密度副本,23,100;12002;100,1,12002,10010004;1,10010008;1
10202,5,1,亲密度副本,37,100;12002;250,1,12002,10010004;1,10010008;1
10203,5,1,亲密度副本,57,100;12002;450,1,12002,10010004;1,10010008;1
10204,5,1,亲密度副本,77,100;12002;700,1,12002,10010004;1,10010008;1
10205,5,1,亲密度副本,97,100;12002;1000,1,12002,10010004;1,10010008;1
10301,4,1,努力值副本,23,100;10141;15,1,10141,10010004;1,10010008;1
10302,4,1,努力值副本,45,100;10141;20,1,10141,10010004;1,10010008;1
10303,4,1,努力值副本,65,100;10141;50,1,10141,10010004;1,10010008;1
10304,4,1,努力值副本,85,100;10141;80,1,10141,10010004;1,10010008;1
10305,4,1,努力值副本,105,100;10141;88,1,10141,10010004;1,10010008;1
10401,3,1,徽章副本,23,100;12301;13,1,12301,10010004;1,10010008;1
10402,3,1,徽章副本,40,100;12301;15,1,12301,10010004;1,10010008;1
10403,3,1,徽章副本,60,100;12301;17,1,12301,10010004;1,10010008;1
10404,3,1,徽章副本,80,100;12301;19,1,12301,10010004;1,10010008;1
10405,3,1,徽章副本,100,100;12301;21,1,12301,10010004;1,10010008;1
10501,6,1,超进化石副本,40,100;12111;60,1,12111,10010004;1,10010008;1
10502,6,1,超进化石副本,60,100;12111;90,1,12111,10010004;1,10010008;1
10503,6,1,超进化石副本,80,100;12111;120,1,12111,10010004;1,10010008;1
10504,6,1,超进化石副本,100,100;12111;150,1,12111,10010004;1,10010008;1
10601,7,1,进化副本,23,100;12101;10|10;12101;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12101;12151;12152,10010004;1,10010008;1
10602,7,1,进化副本,23,100;12102;10|10;12102;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12102;12151;12152,10010004;1,10010008;1
10603,7,1,进化副本,23,100;12103;10|10;12103;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12103;12151;12152,10010004;1,10010008;1
10604,7,1,进化副本,23,100;12104;10|10;12104;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12104;12151;12152,10010004;1,10010008;1
10605,7,1,进化副本,23,100;12105;10|10;12105;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12105;12151;12152,10010004;1,10010008;1
10606,7,1,进化副本,23,100;12106;10|10;12106;2|50;12152;1|100;12151;10|100;12152;2|50;12152;1,1,12106;12151;12152,10010004;1,10010008;1
