序号,系统名称,描述,优先等级,图片资源,跳转界面
number,string,string,string,string,number
ID,System,Describe,level,picture,jump
1,队伍升级,提升宝可梦的等级，可以大幅增加战斗力哦~,5,Tx_duiwusj,41
2,亲密度培养,和宝可梦保持亲密关系，有利于在战斗中更好地发挥哦~,4,Tx_qinmidupy,42
3,宠物进化,进化不仅会改变宝可梦的形态，也会让它们实力大增！,5,Tx_chongwujh,43
4,个体值洗练,洗练个体值，让宝可梦实力得到巨幅提升！,5,Tx_getizhixl,45
5,努力值提升,努力提高宝可梦的努力值吧！,3,Tx_nulizhits,44
6,宠物升星,升星可大幅提升宝可梦的基础属性值！,3,Tx_chongwusx,33
7,天赋学习,根据学习天赋，可定制宝可梦的不同发展路线！,4,Tx_tianfuxx,83
8,技能学习,不同宝可梦可以学习不同技能，试试更多强力的技能组合吧~,3,Tx_jinengxx,27
9,携带装备,提升携带装备的等级，可增强宝可梦的对战实力！,4,Tx_xiedaizb,85
10,高级扭蛋,通过高级扭蛋有几率或得高强度的稀有宝可梦！,5,Tx_gaojind,3
11,首充,充值任意金额即可获得超强宝可梦！,4,Tx_shoucicz,15
