ÐòºÅ,ËéÆ¬id,ÊôÐÔID£¨1.»ð 2.Ë® 3.²Ý 4.Ñý 5.¶ñ 6.Áú 7.±ù 8.¹í 9.ÆÕÍ¨ 10.µç 11.³æ 12.·ÉÐÐ 13.µØÃæ 14.ÑÒÊ¯ 15.¸ñ¶· 16.³¬ÄÜ 17.¸Ö 18.¶¾£©,Ï¡ÓÐ¶È£¨1×Ï2³È3Éñ£©
number,number,number,number
id,pieceId,attribute,rarity
1,601012,11,1
2,601020,9,1
3,601022,12,1
4,601024,18,1
5,601025,10,1
6,601028,13,1
7,601036,4,1
8,601040,9,1
9,601045,3,1
10,601047,11,1
11,601049,11,1
12,601051,13,1
13,601053,9,1
14,601055,2,1
15,601057,15,1
16,601061,2,1
17,601071,3,1
18,601076,14,1
19,601083,12,1
20,601085,12,1
21,601087,7,1
22,601089,18,1
23,601097,16,1
24,601099,2,1
25,601101,10,1
26,601102,3,1
27,601104,13,1
28,601106,15,1
29,601107,15,1
30,601463,9,1
31,601110,18,1
32,601119,2,1
33,601122,16,1
34,601124,16,1
35,601128,9,1
36,601132,9,1
37,601133,9,1
38,601233,9,1
39,601139,2,1
40,601141,14,1
41,601171,2,1
42,601182,3,1
43,601185,14,1
44,601202,16,1
45,601203,16,1
46,601206,9,1
47,601207,13,1
48,601211,2,1
49,601227,17,1
50,601235,9,1
51,601241,9,1
52,601262,5,1
53,601279,2,1
54,601281,16,1
55,601286,3,1
56,601311,10,1
57,601312,10,1
58,601344,16,1
59,601361,7,1
60,601435,18,1
61,601528,16,1
62,601565,2,1
63,601569,18,1
64,601581,2,1
65,601585,3,1
66,601591,3,1
67,601594,2,1
68,601598,3,1
69,601621,6,1
70,601631,1,1
71,601977,5,1
72,601979,7,1
73,601981,5,1
74,601003,3,2
75,601006,1,2
76,601009,2,2
77,601015,11,2
78,601018,12,2
79,601031,18,2
80,601034,18,2
81,601038,1,2
82,601169,18,2
83,601059,1,2
84,601065,16,2
85,601068,15,2
86,601073,2,2
87,601078,1,2
88,601199,16,2
89,601462,17,2
90,601091,2,2
91,601094,8,2
92,601208,17,2
93,601464,13,2
94,601242,9,2
95,601465,3,2
96,601115,9,2
97,601230,2,2
98,601121,2,2
99,601212,17,2
100,601466,10,2
101,601467,1,2
102,601127,11,2
103,601130,2,2
104,601131,7,2
105,601142,14,2
106,601143,9,2
107,601984,7,2
108,601154,3,2
109,601157,1,2
110,601160,2,2
111,601026,10,2
112,601468,4,2
113,601181,10,2
114,601189,3,2
115,601430,5,2
116,601429,8,2
117,601205,11,2
118,601213,11,2
119,601214,11,2
120,601461,7,2
121,601473,13,2
122,601229,1,2
123,601232,13,2
124,601986,10,2
125,601254,3,2
126,601257,1,2
127,601260,2,2
128,601272,2,2
129,601275,3,2
130,601289,9,2
131,601292,8,2
132,601295,9,2
133,601297,15,2
134,601476,14,2
135,601302,8,2
136,601303,17,2
137,601306,17,2
138,601308,16,2
139,601310,10,2
140,601319,2,2
141,601321,2,2
142,601323,1,2
143,601330,13,2
144,601332,3,2
145,601334,6,2
146,601342,2,2
147,601346,3,2
148,601348,14,2
149,601350,2,2
150,601354,8,2
151,601477,8,2
152,601357,3,2
153,601359,5,2
154,601365,7,2
155,601987,10,2
156,601988,10,2
157,601392,1,2
158,601395,2,2
159,601398,9,2
160,601405,10,2
161,601409,14,2
162,601416,11,2
163,601426,8,2
164,601428,9,2
165,601437,17,2
166,601442,8,2
167,601989,10,2
168,601448,15,2
169,601450,13,2
170,601452,18,2
171,601454,18,2
172,601460,7,2
173,601469,11,2
174,601479,10,2
175,601990,10,2
176,601497,3,2
177,601500,1,2
178,601503,2,2
179,601508,9,2
180,601518,16,2
181,601523,10,2
182,601526,14,2
183,601530,13,2
184,601531,9,2
185,601534,15,2
186,601537,2,2
187,601542,3,2
188,601545,18,2
189,601549,3,2
190,601553,5,2
191,601555,1,2
192,601560,5,2
193,601563,8,2
194,601567,14,2
195,601571,5,2
196,601573,9,2
197,601576,16,2
198,601579,16,2
199,601584,7,2
200,601587,10,2
201,601596,11,2
202,601601,17,2
203,601604,10,2
204,601609,8,2
205,601724,3,2
206,601614,7,2
207,601615,7,2
208,601620,15,2
209,601623,13,2
210,601625,5,2
211,601628,9,2
212,601630,12,2
213,601632,11,2
214,601635,5,2
215,601637,11,2
216,601652,3,2
217,601655,1,2
218,601658,2,2
219,601681,8,2
220,601699,7,2
221,601706,6,2
222,601612,6,2
223,601727,1,2
224,601730,2,2
225,601784,6,2
226,601900,9,2
227,601149,6,2
228,601248,14,2
229,601373,6,2
230,601376,17,2
231,601445,6,2
232,601485,17,2
233,601150,16,3
234,601382,2,3
235,601384,6,3
236,601385,17,3
237,601250,1,3
238,601383,13,3
239,601487,8,3
240,601492,3,3
241,601243,10,3
242,601377,14,3
243,601145,10,3
244,601144,7,3
245,601244,1,3
246,601378,7,3
247,601146,1,3
248,601640,3,3
249,601245,2,3
250,601379,17,3
251,601641,12,3
252,601993,16,3
253,601380,6,3
254,601638,17,3
255,601642,10,3
256,601994,16,3
257,601381,6,3
258,601639,14,3
259,601645,13,3
260,601995,16,3
