宝可梦ID,组ID,宝可梦,品级,权重
number,number,string,number,number
ID,Group,Name,Quality,Weight
1150,10001,超梦,6,2
1250,10001,凤王,6,2
1382,10001,海皇牙,6,2
1383,10001,固拉多,6,2
1384,10001,烈空坐,6,2
1385,10001,基拉祈,6,2
1487,10001,骑拉帝纳,6,2
1492,10001,谢米,6,2
1975,10001,水晶大钢蛇,5,5
301015,10001,超·大针蜂,5,5
301018,10001,超·大比鸟,5,5
301024,10001,超·阿柏怪,5,5
301026,10001,超·雷丘,5,5
301031,10001,超·尼多后,5,5
301034,10001,超·尼多王,5,5
301040,10001,超·胖可丁,5,5
301051,10001,超·三地鼠,5,5
301053,10001,超·猫老大,5,5
301057,10001,超·火爆猴,5,5
301065,10001,超·胡地,5,5
301073,10001,超·毒刺水母,5,5
301089,10001,超·臭臭泥,5,5
301091,10001,超·铁甲贝,5,5
301094,10001,超·耿鬼,5,5
301110,10001,超·双弹瓦斯,5,5
301101,10001,超·顽皮弹,5,5
301115,10001,超·袋兽,5,5
301127,10001,超·大甲,5,5
301130,10001,超·暴鲤龙,5,5
301131,10001,超·乘龙,5,5
301132,10001,超·百变怪,5,5
301141,10001,超·镰刀盔,5,5
301142,10001,超·化石翼龙,5,5
301169,10001,超·叉字蝠,5,5
301181,10001,超·电龙,5,5
301185,10001,超·树才怪,5,5
301189,10001,超·毽子棉,5,5
301119,10001,超·金鱼王,5,5
301199,10001,超·呆呆王,5,5
301208,10001,超·大钢蛇,5,5
301212,10001,超·巨钳螳螂,5,5
301214,10001,超·赫拉克罗斯,5,5
301229,10001,超·黑鲁加,5,5
301230,10001,超·刺龙王,5,5
301242,10001,超·幸福蛋,5,5
301275,10001,超·狡猾天狗,5,5
301282,10001,超·沙奈朵,5,5
301302,10001,超·勾魂眼,5,5
301303,10001,超·大嘴娃,5,5
301306,10001,超·波士可多拉,5,5
301308,10001,超·恰雷姆,5,5
301310,10001,超·雷电兽,5,5
301319,10001,超·巨牙鲨,5,5
301321,10001,超·吼鲸王,5,5
301323,10001,超·喷火驼,5,5
301330,10001,超·沙漠蜻蜓,5,5
301334,10001,超·七夕青鸟,5,5
301344,10001,超·念力土偶,5,5
301346,10001,超·摇篮百合,5,5
301350,10001,超·美纳斯,5,5
301354,10001,超·诅咒娃娃,5,5
301357,10001,超·热带龙,5,5
301359,10001,超·阿勃梭鲁,5,5
301362,10001,超·冰鬼护,5,5
301428,10001,超·长耳兔,5,5
301442,10001,超·鬼盆栽,5,5
301448,10001,超·路卡利欧,5,5
301452,10001,超·龙王蝎,5,5
301460,10001,超·暴雪王,5,5
301461,10001,超·玛狃拉,5,5
301466,10001,超·电击魔兽,5,5
301467,10001,超·鸭嘴焰龙,5,5
301468,10001,超·波克基斯,5,5
301475,10001,超·艾路雷朵,5,5
301478,10001,超·雪妖女,5,5
301531,10001,超·差不多娃娃,5,5
301549,10001,超·裙儿小姐,5,5
301555,10001,超·达摩狒狒,5,5
301560,10001,超·头巾混混,5,5
301563,10001,超·死神棺,5,5
301571,10001,超·索罗亚克,5,5
301576,10001,超·哥德小姐,5,5
301581,10001,超·舞天鹅,5,5
301609,10001,超·水晶灯火灵,5,5
301699,10001,超·冰雪巨龙,5,5
311007,10001,晶·大钢蛇,5,5
1150,10002,超梦,6,1
1250,10002,凤王,6,1
1382,10002,海皇牙,6,1
1383,10002,固拉多,6,1
1384,10002,烈空坐,6,1
1385,10002,基拉祈,6,1
1487,10002,骑拉帝纳,6,1
1492,10002,谢米,6,1
