特效ID,特效名称,特效资源名,特效偏移X,特效偏移Y,延迟
number,string,string,number,number,number
id,name,resource,offsetX,offsetY,delay
1,冰暴雨,bingbaoyu,,,80
2,大文字,dawenzi,,,80
3,电击地裂,dianjidilie,,,80
4,光柱,guangzhu,,,80
5,黑色龙卷,heiselongjuan,,,80
6,火系全体,huoxiquntishouji003_all,,,80
7,流星火雨,liuxinghuoyu,,,80
8,龙口喷火,longkoupenhuo,,,80
9,水龙卷,shuilongjuan,,,80
10,乘浪,chenglang,,,80
11,毒雨,duyu,,,80
12,水柱,shuizhu,,,80
13,眼睛,yanjing,,,80
14,岩石粉碎,62yanshifensui,,,80
15,地狱飞踢,63diyufeiti,,,80
16,中毒受击,caoxibaozha03,,,80
17,草系群体,caoxibaozha04,,,80
18,火系全体,806,,,80
19,恶系全体,807,,,80
20,冰封世界,binfengshijie,,,80
21,颠倒,diandao,,,80
22,断崖之剑,duanyazhijian_backup,,,80
23,寒霜步履,hanshuangbulv,,,80
24,精神强念,jinshenqiangniang,,,80
25,狂龙之魂,kuanglongzhihun,,,80
26,雷击1,leiji,,,80
27,龙之波动,longzhibodong,,,80
28,破灭之愿,pomiezhiyuan,,,80
29,奇异之花,qiyizhihua,,,80
30,神鸟猛击,shenniaomengji,,,80
31,神圣之火,shenshengzhihuo,,,80
32,水流强袭,shuiliuqiangxi,,,80
33,水之波动,shuizhibodong,,,80
34,V热焰,Vreyan,,,80
35,万圣夜,wanshenye,,,80
36,鲜花防守,xianhuafangshou,,,80
37,蓄能爆发,xunengbaofa,,,80
38,预知未来,yuzhiweilai,,,80
39,战吼,zhanhou,,,80
40,阵地之王,zhendizhiwang,,,80
41,高温重压,gaowenzhongya,,,80
42,大晴天,daqintian,,,80
43,求雨,qiuyu,,,80
44,蒸汽爆炸,zhenqibaozha,,,80
45,暗黑爆破,anheibaopo,,,80
46,芳香薄雾,fangxiangbowu,,,80
47,流星群,liuxinqun,,,80
48,黑雾,heiwu,,,80
49,冰雹,bingbao,,,80
50,冰锤,bingchui,,,80
51,幽灵影风,qiyizhifeng,,,80
52,神秘守护,shenmishouhu,,,80
53,撒菱,salin,,,80
54,唱歌,changge,,,80
55,治愈铃声,zhiyulingsheng,,,80
56,拍打,paida,,,80
57,夹住,jiazhu,,,80
58,音爆,yinbao,,,80
59,月亮之力,yueliangzhili,,,80
60,天使之吻,tianshizhiwen,,,80
61,泰山压顶,taishanyading,,,80
62,爆音波,baoyinbo,,,80
63,麻麻刺刺,mamacici,,,80
64,雷击2,leiji2,,,80
65,怪异电波,guaiyidianbo,,,80
66,银色旋风,yinsexuanfeng,,,80
67,蝶舞,diewu,,,80
68,蛛网,zhuwang,,,80
69,鸟嘴加农炮,niaozuijianongpao,,,80
70,羽栖,yuqi,,,80
71,泥巴炸弹,nibazhadan,,,80
72,地震,dizhen,,,80
73,重踏2,zhongta2,,,80
74,原始之力,yuanshizhili,,,80
75,落石,luoshi,,,80
76,岩石封锁,yanshifengsuo,,,80
77,棱镜镭射,lenjinleishe,,,80
78,精神强念,jinshenqiangniang,,,80
79,食梦,shimen,,,80
80,意念头锤,yiniantouchui,,,80
81,钢翼,gangyi,,,80
82,磁铁炸弹,citiezhadan,,,80
83,十字毒刃,shiziduren,,,80
84,毒液陷阱,duyexianjin,,,80
