自增长id,内容,注释,条件参数1,条件参数2
number,string,string,number,number
id,tips,ZHUSHI,condition1,condition2
1000,[#0efd3b]霸气进化！恭喜[#FFFFFF]{0}[#0efd3b]将{1}进化为[#FF9900]{2}[#0efd3b]!,橙色及红色精灵显示,4,0
1001,[#0efd3b]专业捕捉！恭喜[#FFFFFF]{0}[#0efd3b]获得[#FF9900]{1}[#0efd3b]!,橙色及红色精灵显示,4,0
1002,[#0efd3b]运气达人！恭喜[#FFFFFF]{0}[#0efd3b]获得[#ff02f6]<{1}>[#0efd3b]!,橙色及红色精灵显示,4,0
1003,[#0efd3b]集齐龙珠！恭喜[#FFFFFF]{0}[#0efd3b]在神兽兑换中获得[#FF9900]<{1}>[#0efd3b]!,橙色及红色精灵显示,4,0
1004,[#0efd3b]实力证明！恭喜[#FFFFFF]{0}[#0efd3b]通过地底挑战[#EE82EE]{1}[#0efd3b]层!,每10层显示,30,
1005,[#0efd3b]战力伙伴！恭喜[#FFFFFF]{0}[#0efd3b]获得超强神兽--[#FF0000]<{1}>[#0efd3b]！！！,红色精灵显示,5,
1006,[#0efd3b]实力提升！恭喜[#FFFFFF]{0}[#0efd3b]成功将[#EE82EE]<{1}>[#0efd3b]升到[#EE82EE]{2}[#0efd3b]星!,升星显示,,
1007,[#0efd3b]月卡月卡！恭喜[#FFFFFF]{0}[#0efd3b]获得[#FF9900]月卡[#0efd3b]！！,购买月卡,,
1008,[#0efd3b]首充奖励！恭喜[#FFFFFF]{0}[#0efd3b]获得[#EE82EE]首充奖励[#0efd3b]！！,购买首充,,
1009,[#0efd3b]至尊王者！恭喜[#FFFFFF]{0}[#0efd3b]获得[#FF0000]至尊终身卡[#0efd3b]！！,购买至尊卡,,
1011,[#0efd3b]我有称号！恭喜[#FFFFFF]{0}[#0efd3b]获得了[#EE82EE]{1}[#0efd3b]的称号!,获得称号时,1,
1012,[#0efd3b]势不可挡！[#FFFFFF]{0}在[#00B0F0]商店[#0efd3b]中寻得了[#FF9900]<{1}>[#0efd3b]！,购买除最低价格的技能机器以外的技能机器,,
1013,[#0efd3b]强大提升！恭喜[#FFFFFF]{0}[#0efd3b]成功从[#FF9900]<VIP {1}>进阶到[#FF0000]<VIP {2}>！！！,玩家获得VIP时,,
1014,[#0efd3b]强大提升！恭喜[#FFFFFF]{0}[#0efd3b]成功从[#FF9900]<神秘商店>购买[#FF0000]{1}！！！,玩家神秘商店神兽碎片时,,
1015,[#C73DBD]上品出世！恭喜[#FFFFFF]{0}[#0efd3b]的[#E33D21]<{1}>个体值总值突破[#C73DBD]900！,玩家获得个体值总值>=900的橙色或红色的精灵,,
1016,[#F07214]极品出世！恭喜[#FFFFFF]{0}[#0efd3b]的[#E33D21]<{1}>个体值总值突破[#F07214]1200！！,玩家获得个体值总值>=1200的橙色或红色的精灵,,
1017,[#FF0101]仙品出世！恭喜[#FFFFFF]{0}[#0efd3b]的[#E33D21]<{1}>个体值总值突破[#FF0101]1500！！！,玩家获得个体值总值>=1500的橙色或红色的精灵,,
1018,[#FFFF00]圣品出世！恭喜[#FFFFFF]{0}[#0efd3b]的[#E33D21]<{1}>个体值总值突破[#FFFF00]1800！！！！,玩家获得个体值总值>=1800的橙色或红色的精灵,,
1019,[#0efd3b]鸿运当头！恭喜[#FFFFFF]{0}[#0efd3b]获得[#EE82EE]{1}[#0efd3b]！！,玩家在幸运转盘活动中获得稀有道具,,
1020,[#0efd3b]精灵大师！恭喜[#FFFFFF]{0}[#0efd3b]在积分商店兑换[#EE82EE]{1}[#0efd3b]！！,玩家在幸运转盘活动的积分商店兑换稀有道具,,
