自增长id,称号名称,称号id,品质颜色,获得途径描述,效果引用id,通过关卡数,普通竞技场排名,战斗力达到,收集不同的精灵数量,橙宠数量,神宠数量,挑战的层数,VIP等级,拥有好友数,遭遇战,秘境,排位赛（引用排位赛荣誉等级表）,挖矿,活动获得,累计充值
number,string,number,string,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
id,name,title,quality,des,effectId,dungeons,comPvpRank,power,elfType,OelfNum,RelfNum,tower,vipLv,friends,meetBattle,rift,ranklv,mining,activity,recharge
1,初级训练师,6000,#99FF00,通过第20关,1501,20,,,,,,,,,,,,,,
2,初具规模,6001,#6600FF,战斗力达到250000,1502,,,250000,,,,,,,,,,,,
3,精灵爱好者,6002,#FF00FF,收集30只不同的精灵,1503,,,,30,,,,,,,,,,,
4,初级探索者,6003,#99FF00,通关地底探索第20层,1504,,,,,,,20,,,,,,,,
5,社交达人,6004,#6600FF,拥有20名好友,1505,,,,,,,,,20,,,,,,
6,高级训练师,6005,#FF00FF,获得3只橙色精灵,1506,,,,,3,,,,,,,,,,
7,百万战豪,6006,#99FF00,战斗力达到1000000,1507,,,1000000,,,,,,,,,,,,
8,大富豪,6007,#6600FF,VIP17激活,1508,,,,,,,,17,,,,,,,
9,强势新星,6008,#FF00FF,获得1只神宠,1509,,,,,,1,,,,,,,,,
10,高级探索者,6009,#99FF00,通关地底探索第50层,1510,,,,,,,50,,,,,,,,
11,大师级训练师,6010,#6600FF,收集6个橙色精灵,1511,,,,,6,,,,,,,,,,
12,决战不息,6011,#FF00FF,获得竞技场排名前10,1512,,10,,,,,,,,,,,,,
13,强者的证明,6012,#99FF00,获得6只神宠,1513,,,,,,6,,,,,,,,,
14,纯爷们,6013,#6600FF,通过第1000关,1514,1000,,,,,,,,,,,,,,
15,精灵至尊,6014,#FF00FF,获得竞技场排名前三,1515,,3,,,,,,,,,,,,,
16,朕要打100个,6015,,掠夺战斗100次,1516,,,,,,,,,,100,,,,,
17,千人斩,6016,,掠夺战斗1000次,1517,,,,,,,,,,1000,,,,,
18,挖矿狂人,6017,,挖矿10000次,1518,,,,,,,,,,,,,10000,,
19,秘境达人,6018,,秘境通过33层,1519,,,,,,,,,,,33,,,,
20,排位强者,6019,,排位赛到达钻石I段位,1520,,,,,,,,,,,,3,,,
21,级别大师,6020,,绝版称号：等级竞赛获得,1521,,,,,,,,,,,,,,1,
22,大地主,6021,,绝版称号：活动获得,1522,,,,,,,,,,,,,,1,
23,千万战神,6022,,战力达到千万,1523,,,10000000,,,,,,,,,,,,
24,土豪我跪了,6023,,累计充值5000激活,1524,,,,,,,,,,,,,,,5000
25,神豪你好,6024,,累计充值10000激活,1525,,,,,,,,,,,,,,,10000
26,最强战力,6025,,绝版称号：战力竞赛获得,1526,,,,,,,,,,,,,,1,
27,宗师培养,6026,,绝版称号：精灵竞赛获得,1527,,,,,,,,,,,,,,1,
28,出神入化,6027,,绝版称号：地底竞赛获得,1528,,,,,,,,,,,,,,1,
29,巅峰王者,6028,,绝版称号：公会竞赛获得,1529,,,,,,,,,,,,,,1,
30,财运亨通,6029,,绝版称号：大赛竞赛获得,1530,,,,,,,,,,,,,,1,
