当前层数（每次重置时从1开始）0层是进入条件层，只用打一次,下层推荐战力,过关点数ID,过关点数,奖励预览,掉落(lootID;lootID),体力消耗,阵型,关卡id（引用怪物能力表）,集字活动掉落(普通lootid;数量|lootid;数量）,中秋集字掉落(普通lootid;数量|lootid;数量）
number,number,number,number,string,string,number,number,number,string,string
id,gradeCombat,perID,expElf,lootPreview,loot,cost,formation,DungeonsID,NormalCollectLoot,FestivalCollectLoot
0,,,,,,,5,200000,10010003;1,10010007;1
1,171942,19001,20,12101;13031;12151;12152,1,,1,200001,10010003;1,10010007;1
2,178446,19001,20,12102;13032;12151;12152,11,,101,200002,10010003;1,10010007;1
3,184953,19001,20,12103;13033;12151;12152,21,,201,200003,10010003;1,10010007;1
4,191457,19001,20,12104;13034;12151;12152,31,,301,200004,10010003;1,10010007;1
5,209598,19001,20,12105;13034;12151;12152,41,,401,200005,10010003;1,10010007;1
6,204468,19001,25,12106;13035;12151;12152,51,,5,200006,10010003;1,10010007;1
7,217476,19001,25,12107;13035;12151;12152,61,,105,200007,10010003;1,10010007;1
8,230484,19001,25,12101;13031;12151;12152,1,,205,200008,10010003;1,10010007;1
9,243492,19001,25,12102;13032;12151;12152,11,,305,200009,10010003;1,10010007;1
10,256503,19001,25,12103;13033;12151;12152,21,,405,200010,10010003;1,10010007;1
11,285411,19001,30,12104;13034;12151;12152,31,,10,200011,10010003;1,10010007;1
12,299196,19001,30,12105;13034;12151;12152,41,,110,200012,10010003;1,10010007;1
13,312981,19001,30,12106;13035;12151;12152,51,,210,200013,10010003;1,10010007;1
14,326766,19001,30,12107;13035;12151;12152,61,,310,200014,10010003;1,10010007;1
15,347442,19001,30,12101;13031;12151;12152,1,,410,200015,10010003;1,10010007;1
16,368118,19001,35,12102;13032;12151;12152,11,,15,200016,10010003;1,10010007;1
17,410514,19001,35,12103;13033;12151;12152,21,,115,200017,10010003;1,10010007;1
18,409473,19001,35,12104;13034;12151;12152,31,,215,200018,10010003;1,10010007;1
19,430149,19001,35,12105;13034;12151;12152,41,,315,200019,10010003;1,10010007;1
20,457719,19001,35,12106;13035;12151;12152,51,,415,200020,10010003;1,10010007;1
21,485286,19001,40,12107;13035;12151;12152,61,,20,200021,10010003;1,10010007;1
22,512856,19001,40,12101;13031;12151;12152,1,,120,200022,10010003;1,10010007;1
23,570678,19001,40,12102;13032;12151;12152,11,,220,200023,10010003;1,10010007;1
24,607077,19001,40,12103;13033;12151;12152,21,,320,200024,10010003;1,10010007;1
25,643476,19001,40,12104;13034;12151;12152,31,,420,200025,10010003;1,10010007;1
26,679878,19001,45,12105;13034;12151;12152,41,,25,200026,10010003;1,10010007;1
27,723558,19001,45,12106;13035;12151;12152,51,,125,200027,10010003;1,10010007;1
28,767238,19001,45,12107;13035;12151;12152,61,,225,200028,10010003;1,10010007;1
29,853965,19001,45,12101;13031;12151;12152,1,,325,200029,10010003;1,10010007;1
30,861879,19001,45,12102;13032;12151;12152,11,,425,200030,10010003;1,10010007;1
