城镇ID,城镇名称,产出（策划用）,目的地,旅行时间（分钟）
number,string,string,number,number
ID,Name,Production,Destination,TravelTime
1,古木镇,普通,2,3
1,古木镇,,3,2
1,古木镇,,4,1
1,古木镇,,5,1
1,古木镇,,6,2
1,古木镇,,7,3
1,古木镇,,8,3
1,古木镇,,9,4
1,古木镇,,10,3
1,古木镇,,11,3
1,古木镇,,12,4
1,古木镇,,13,5
1,古木镇,,14,6
1,古木镇,,15,4
1,古木镇,,16,2
1,古木镇,,17,3
1,古木镇,,18,5
1,古木镇,,19,3
1,古木镇,,20,2
1,古木镇,,21,5
1,古木镇,,22,5
1,古木镇,,23,7
1,古木镇,,24,5
1,古木镇,,25,1
2,常盘森林,草,1,3
2,常盘森林,,3,1
2,常盘森林,,4,2
2,常盘森林,,5,4
2,常盘森林,,6,5
2,常盘森林,,7,6
2,常盘森林,,8,6
2,常盘森林,,9,7
2,常盘森林,,10,4
2,常盘森林,,11,6
2,常盘森林,,12,7
2,常盘森林,,13,8
2,常盘森林,,14,9
2,常盘森林,,15,7
2,常盘森林,,16,3
2,常盘森林,,17,6
2,常盘森林,,18,8
2,常盘森林,,19,6
2,常盘森林,,20,5
2,常盘森林,,21,8
2,常盘森林,,22,8
2,常盘森林,,23,10
2,常盘森林,,24,8
2,常盘森林,,25,2
3,水涟镇,水,1,2
3,水涟镇,,2,1
3,水涟镇,,4,1
3,水涟镇,,5,3
3,水涟镇,,6,4
3,水涟镇,,7,5
3,水涟镇,,8,5
3,水涟镇,,9,6
3,水涟镇,,10,5
3,水涟镇,,11,5
3,水涟镇,,12,6
3,水涟镇,,13,7
3,水涟镇,,14,8
3,水涟镇,,15,6
3,水涟镇,,16,4
3,水涟镇,,17,5
3,水涟镇,,18,7
3,水涟镇,,19,5
3,水涟镇,,20,4
3,水涟镇,,21,7
3,水涟镇,,22,7
3,水涟镇,,23,9
3,水涟镇,,24,7
3,水涟镇,,25,3
4,熔岩镇,火,1,1
4,熔岩镇,,2,2
4,熔岩镇,,3,1
4,熔岩镇,,5,2
4,熔岩镇,,6,3
4,熔岩镇,,7,4
4,熔岩镇,,8,4
4,熔岩镇,,9,5
4,熔岩镇,,10,4
4,熔岩镇,,11,4
4,熔岩镇,,12,5
4,熔岩镇,,13,6
4,熔岩镇,,14,7
4,熔岩镇,,15,5
4,熔岩镇,,16,3
4,熔岩镇,,17,4
4,熔岩镇,,18,6
4,熔岩镇,,19,4
4,熔岩镇,,20,3
4,熔岩镇,,21,6
4,熔岩镇,,22,6
4,熔岩镇,,23,8
4,熔岩镇,,24,6
4,熔岩镇,,25,2
5,美川镇,格斗,1,1
5,美川镇,,2,4
5,美川镇,,3,3
5,美川镇,,4,2
5,美川镇,,6,1
5,美川镇,,7,2
5,美川镇,,8,2
5,美川镇,,9,3
5,美川镇,,10,4
5,美川镇,,11,2
5,美川镇,,12,3
5,美川镇,,13,4
5,美川镇,,14,5
5,美川镇,,15,3
5,美川镇,,16,3
5,美川镇,,17,2
5,美川镇,,18,4
5,美川镇,,19,2
5,美川镇,,20,1
5,美川镇,,21,4
5,美川镇,,22,4
5,美川镇,,23,6
5,美川镇,,24,4
5,美川镇,,25,2
6,香薰市,妖精,1,2
6,香薰市,,2,5
6,香薰市,,3,4
6,香薰市,,4,3
6,香薰市,,5,1
6,香薰市,,7,1
6,香薰市,,8,1
6,香薰市,,9,2
6,香薰市,,10,5
6,香薰市,,11,3
6,香薰市,,12,4
6,香薰市,,13,5
6,香薰市,,14,6
6,香薰市,,15,4
6,香薰市,,16,4
6,香薰市,,17,3
6,香薰市,,18,5
6,香薰市,,19,3
6,香薰市,,20,2
6,香薰市,,21,3
6,香薰市,,22,3
6,香薰市,,23,5
6,香薰市,,24,5
6,香薰市,,25,3
7,连地洞穴,毒,1,3
7,连地洞穴,,2,6
7,连地洞穴,,3,5
7,连地洞穴,,4,4
7,连地洞穴,,5,2
7,连地洞穴,,6,1
7,连地洞穴,,8,2
7,连地洞穴,,9,3
7,连地洞穴,,10,6
7,连地洞穴,,11,4
7,连地洞穴,,12,5
7,连地洞穴,,13,6
7,连地洞穴,,14,7
7,连地洞穴,,15,5
7,连地洞穴,,16,5
7,连地洞穴,,17,4
7,连地洞穴,,18,6
7,连地洞穴,,19,4
7,连地洞穴,,20,3
7,连地洞穴,,21,4
7,连地洞穴,,22,4
7,连地洞穴,,23,6
7,连地洞穴,,24,6
7,连地洞穴,,25,4
8,奇楠市,虫,1,3
8,奇楠市,,2,6
8,奇楠市,,3,5
8,奇楠市,,4,4
8,奇楠市,,5,2
8,奇楠市,,6,1
8,奇楠市,,7,2
8,奇楠市,,9,1
8,奇楠市,,10,6
8,奇楠市,,11,4
8,奇楠市,,12,5
8,奇楠市,,13,6
8,奇楠市,,14,7
8,奇楠市,,15,5
8,奇楠市,,16,5
8,奇楠市,,17,4
8,奇楠市,,18,6
8,奇楠市,,19,4
8,奇楠市,,20,3
8,奇楠市,,21,2
8,奇楠市,,22,2
8,奇楠市,,23,4
8,奇楠市,,24,6
8,奇楠市,,25,4
9,风雪镇,冰,1,4
9,风雪镇,,2,7
9,风雪镇,,3,6
9,风雪镇,,4,5
9,风雪镇,,5,3
9,风雪镇,,6,2
9,风雪镇,,7,3
9,风雪镇,,8,1
9,风雪镇,,10,7
9,风雪镇,,11,5
9,风雪镇,,12,6
9,风雪镇,,13,7
9,风雪镇,,14,8
9,风雪镇,,15,6
9,风雪镇,,16,6
9,风雪镇,,17,5
9,风雪镇,,18,7
9,风雪镇,,19,5
9,风雪镇,,20,4
9,风雪镇,,21,3
9,风雪镇,,22,1
9,风雪镇,,23,3
9,风雪镇,,24,7
9,风雪镇,,25,5
10,密阿雷市,地面,1,3
10,密阿雷市,,2,4
10,密阿雷市,,3,5
10,密阿雷市,,4,4
10,密阿雷市,,5,4
10,密阿雷市,,6,5
10,密阿雷市,,7,6
10,密阿雷市,,8,6
10,密阿雷市,,9,7
10,密阿雷市,,11,6
10,密阿雷市,,12,7
10,密阿雷市,,13,8
10,密阿雷市,,14,9
10,密阿雷市,,15,7
10,密阿雷市,,16,1
10,密阿雷市,,17,6
10,密阿雷市,,18,8
10,密阿雷市,,19,6
10,密阿雷市,,20,5
10,密阿雷市,,21,8
10,密阿雷市,,22,8
10,密阿雷市,,23,10
10,密阿雷市,,24,8
10,密阿雷市,,25,2
11,石林镇,钢,1,3
11,石林镇,,2,6
11,石林镇,,3,5
11,石林镇,,4,4
11,石林镇,,5,2
11,石林镇,,6,3
11,石林镇,,7,4
11,石林镇,,8,4
11,石林镇,,9,5
11,石林镇,,10,6
11,石林镇,,12,1
11,石林镇,,13,2
11,石林镇,,14,3
