文本内容ID,注释,注释辅助分类,文本内容,是否逐字显示,文本坐标X,文本坐标Y,文本宽度W,文本高度H,文本描边颜色(16进制表示）,文本描边像素,字体大小,音频内容(文件名字表示）,从上方计算坐标（1为从上方计算，2为从中间计算，不填或者填0从下方计算）
number,string,string,string,number,number,number,number,number,string,number,number,string,number
ID,Zhushi,ZhuShiType,Dialog,WordBool,X,Y,W,H,textOutline,textPx,textSize,audio,FromLeft
1001,引导点击进入战斗,," [#000000]  欢迎来到[#00B0F0]  宝可梦[#000000]  的世界,带上你的宝可梦[#FF0000]  进入战斗[#000000]  吧~",,87,768,437,1100,,,,,
1,第1张对话,,"[#FFFFFF]  这就是[#FFFF00]  战斗[#FFFFFF]  了,你的[#FFFF00]  精灵[#FFFFFF]  看上去很精神,下面,让我们开始[#00B0F0]  教学吧",,31,881,496,74,,,,,
11,第2张对话,,"[#FFFFFF]  这是敌方精灵,敌方精灵最多可以有[#00B0F0]  6只,[#FFFFFF]  属性也有[#00B0F0]  6种",,31,881,496,74,,,,,
21,第3张对话,,"[#FFFFFF]  这里是[#00B0F0]  出手顺序[#FFFFFF]  ,根据每个精灵的[#FF0000]  速度[#FFFFFF]  来算,速度越快,每回合出手就越快",,31,881,496,74,,,,,
31,第4张对话,,"[#FFFFFF]  这里是[#00B0F0]  天气系统[#FFFFFF]  ,一共[#FFFF00]  六种[#FFFFFF]  天气,每个天气都会增加场上的对应属性的[#FF0000]  精灵10%[#FFFFFF]  的威力",,31,881,496,74,,,,,
41,第5张对话,,"[#FFFFFF]  下面是你的精灵的[#00B0F0]  技能 [#FFFFFF]  ,每个技能都需要消耗SP越厉害的技能[#FF0000]  消耗SP [#FFFFFF]  越多",,28,819,511,71,,,,,
51,第6张对话,,"[#FFFFFF]  选完技能后,敌方精灵头上就会出现不同颜色的箭头,[#00B050]  绿色代表效果好[#FFFFFF]  ,[#FFFF00]  黄色代表一般[#FFFFFF]  ,[#FF0000]  红色则是效果差",,37,818,505,70,,,,,
61,第7张对话,,"[#FFFFFF]  好了,点击[#00B050]  任意[#FFFFFF]  1个敌方精灵,试一下技能的威力吧",,37,818,505,70,,,,,
71,,,0,,,,,,,,,,
81,第9张对话,,"[#FFFFFF]  恭喜[#00B050]  战斗胜利[#FFFFFF]  了,接下起来让我们进入游戏吧",,37,818,505,70,,,,,
91,第10张对话,,"[#FFFFFF]  这里是挂机所得的收益,可以获得[#00B050]  金币,[#00B0F0]  经验[#00B050]  ,[#FFFF00]  精灵[#FFFFFF]  和[#7030A0]  各种道具",,55,894,487,73,,,,,
101,第11张对话,,[#FFFFFF]  下面跟着[#00B050]  我的手指来[#FFFFFF]  继续游戏吧,,120,836,346,34,,,,,
111,第12张对话,,"[#00B0F0]  高级单抽[#FFFFFF]  可以每天来一发免费的精灵哦,让我们试一下",,34,819,504,76,,,,,
121,第13张对话,,"[#FFFFFF]  恭喜得到[#7030A0]  大嘴蝠, [#FFFFFF]  让我们回挂机界面吧",,90,885,403,43,,,,,
141,第14张对话,,"[#FFFFFF]  完成了任务,点击[#00B050]  领取奖励",,112,1026,295,35,,,,,
151,第15张对话,,[#FFFFFF]  接下来跟着我的手继续吧,,107,1020,327,34,,,,,
500,引导玩家点击战斗失败的确认按钮,,"[#FFFFFF]  啊！被打败了,点击确认按钮然后去寻求帮助吧~",,135,530,450,50,#000000,3,24,teachhua500,2
501,引导玩家点击展开功能,,[#FFFFFF]  关卡难度大可以寻求好友的帮助哦~先点击展开功能按钮,,135,750,450,50,#000000,3,24,teachhua501,2
502,引导玩家点击好友功能,,"[#FFFFFF]  我们点击好友,看看有没有可以帮助我们的小伙伴~",,135,750,450,50,#000000,3,24,teachhua502,2
503,介绍好友列表,,"[#FFFFFF]  好友页签下是我们的好友列表,好友协助精灵可以帮助我们挑战关卡哦~",,135,750,450,50,#000000,3,24,teachhua503,2
504,介绍好友协助精灵,,"[#FFFFFF]  如果好友放置了协助精灵,这里就会显示协助精灵",,135,750,450,50,#000000,3,24,teachhua504,2
505,引导玩家点击第一个好友的协助按钮,,"[#FFFFFF]  我们就选择第一个好友的精灵吧,点击精灵后的协助按钮就可以它带上阵咯~",,135,750,450,50,#000000,3,24,teachhua505,2
506,引导玩家点击关闭按钮,,[#FFFFFF]  我们现在再去挑战下失败的关卡吧~先点击关闭按钮,,135,530,450,50,#000000,3,24,teachhua506,2
507,引导玩家进入战斗,,[#FFFFFF]  点击开始战斗进入战斗吧~,,135,530,450,50,#000000,3,24,teachhua507,2
4000,,人物介绍,"[#FFFFFF]  亲爱的训练师,我是娜娜,接下来我会陪着你一起体验宝可梦奇幻之旅~",,135,735,450,50,#000000,3,24,,
5000,,培养,[#FFFFFF]  点击培养开始培养上阵的精灵吧~,,135,750,450,50,#000000,3,24,teachhua5000,2
5001,,玩家头像,"[#FFFFFF]  人物穿戴可以给所有精灵加战力,我们去看看吧~",,135,750,450,50,#000000,3,24,teachhua5001,2
5002,,主城,[#FFFFFF]  我们先去主城~,,135,750,450,50,#000000,3,24,teachhua5002,2
5003,,精灵,[#FFFFFF]  打开我们的宝可梦~,,135,750,450,50,#000000,3,24,teachhua5003,2
5004,,任务,[#FFFFFF]  打开任务看看吧~,,135,750,450,50,#000000,3,24,teachhua5004,2
5005,,商店,[#FFFFFF]  点击商城~,,135,750,450,50,#000000,3,24,teachhua5005,2
5006,,冒险,[#FFFFFF]  点击冒险~,,135,750,450,50,#000000,3,24,,
5007,,开始战斗,[#FFFFFF]  点击开始战斗吧~,,135,750,450,50,#000000,3,24,teachhua507,
5008,,丰缘地区,[#FFFFFF]  我们先去丰缘地区~,,135,530,450,50,#000000,3,24,,
5009,,地图,[#FFFFFF]  我们先点击地图~,,135,310,450,50,#000000,3,24,,2
5100,,跟随,[#FFFFFF]  点击跟随看看~,,135,750,450,50,#000000,3,24,teachhua5100,2
5101,,跟随,[#FFFFFF]  试试把精灵放到空余的格子上。,,135,750,450,50,#000000,3,24,teachhua5101,2
5200,,任务,[#FFFFFF]  点击日常任务看有什么奖励。,,135,750,450,50,#000000,3,24,teachhua5200,2
5201,,任务,[#FFFFFF]  任务获得的活跃度可以领取宝箱内奖励。,,135,750,450,50,#000000,3,24,teachhua5201,2
5202,,任务,[#FFFFFF]  点击前往或领取按钮去完成任务或领取奖励吧~,,135,750,450,50,#000000,3,24,teachhua5202,2
5203,,任务,[#FFFFFF]  成就任务也有很多奖励可以领取哦~,,135,750,450,50,#000000,3,24,teachhua5203,
5300,,商店,"[#FFFFFF]  商店有很多种,我们先看看竞技商店吧~",,135,750,450,50,#000000,3,24,teachhua5300,2
5301,,商店,[#FFFFFF]  没有好的商品我们可以点击刷新换商品。,,135,530,450,50,#000000,3,24,teachhua5301,2
5400,,亲密,[#FFFFFF]  点击亲密度页签。,,135,750,450,50,#000000,3,24,teachhua5400,2
5401,,亲密,"[#FFFFFF]  先点击一键添加,可以添加精灵需要的食物哦~",,135,530,450,50,#000000,3,24,teachhua5401,2
5402,,亲密,"[#FFFFFF]  点击喂养,精灵的亲密度等级就提升了。",,135,530,450,50,#000000,3,24,teachhua5402,2
5500,,进化,[#FFFFFF]  点击进化页签看看精灵进化的样子吧~,,135,750,450,50,#000000,3,24,teachhua5500,2
5501,,进化,"[#FFFFFF]  精灵进化会改变品质,所以条件也是很苛刻的。",,135,750,450,50,#000000,3,24,teachhua5501,2
5502,,进化,[#FFFFFF]  点击进化见证精灵的变化吧~,,135,310,450,50,#000000,3,24,teachhua5502,2
5600,,个体,[#FFFFFF]  点击个体值页签。,,135,750,450,50,#000000,3,24,teachhua5600,
5601,,个体,[#FFFFFF]  区域内是精灵各项属性的成长资质。,,135,750,450,50,#000000,3,24,teachhua5601,2
5602,,个体,"[#FFFFFF]  成长资质越高,对应成长的属性就越高。",,135,750,450,50,#000000,3,24,teachhua5602,2
5603,,个体,"[#FFFFFF]  锁住后,洗练时锁的资质就不会变了。",,135,750,450,50,#000000,3,24,teachhua5603,2
5700,,性格,[#FFFFFF]  点击性格看看~,,135,750,450,50,#000000,3,24,teachhua5700,2
5701,,性格,"[#FFFFFF]  精灵有很多性格,每个性格对应不同的效果。",,135,750,450,50,#000000,3,24,teachhua5701,2
5702,,性格,[#FFFFFF]  点击洗性格看看有没有你想要的性格。,,135,750,450,50,#000000,3,24,teachhua5702,2
5800,,携带品,[#FFFFFF]  点击携带品看有什么东西吧~,,135,750,450,50,#000000,3,24,teachhua5800,2
5801,,携带品,[#FFFFFF]  穿戴框左上角的颜色代表携带品的种类。,,135,750,450,50,#000000,3,24,teachhua5801,2
5802,,携带品,[#FFFFFF]  现在点击一键升级提升携带品的等级。,,135,750,450,50,#000000,3,24,teachhua5802,2
5803,,携带品,[#FFFFFF]  点击一键装备完成携带品的穿戴吧~,,135,750,450,50,#000000,3,24,teachhua5803,2
5900,,竞技场,[#FFFFFF]  我们看看在竞技场能碰到什么对手吧~,,135,750,450,50,#000000,3,24,teachhua5900,2
5901,,竞技场,[#FFFFFF]  在竞技场打败其他训练师可以增加排名哦~,,135,750,450,50,#000000,3,24,teachhua5901,2
5902,,竞技场,"[#FFFFFF]  排名越高每日结算的奖励越多,去试试吧~",,135,750,450,50,#000000,3,24,teachhua5902,2
6000,,狩猎场,[#FFFFFF]  点击狩猎场看看吧~,,135,310,450,50,#000000,3,24,,2
6001,,狩猎场,"[#FFFFFF]  这里就是狩猎场了,看见那些精灵了吗~",,135,750,450,50,#000000,3,24,,2
6002,,狩猎场,"[#FFFFFF]  这里显示有的捕获球,不足时可以点击直接购买。",,135,310,450,50,#000000,3,24,,
6003,,狩猎场,[#FFFFFF]  这里的箭头可以选择去哪个等级的狩猎场~,,135,750,450,50,#000000,3,24,,
6004,,狩猎场,[#FFFFFF]  点击进入就可以进去咯。,,135,750,450,50,#000000,3,24,,2
6005,,狩猎场,[#FFFFFF]  选择下方的球点击移动的精灵就可以捕捉啦~,,135,750,450,50,#000000,3,24,,
6006,,狩猎场,[#FFFFFF]  这里可以看精灵出现的几率~,,135,310,450,50,#000000,3,24,,
6007,,狩猎场,[#FFFFFF]  点击可以瞬间完成本次移动哦~,,135,750,450,50,#000000,3,24,,2
6008,,狩猎场,[#FFFFFF]  点击那些跑动的精灵，就可以扔出精灵球抓捕他们哦~,,135,750,450,50,#000000,3,24,,2
6100,,升星,[#FFFFFF]  点击升星让精灵更强吧~,,135,750,450,50,#000000,3,24,teachhua6100,2
6101,,升星,[#FFFFFF]  升星可以提高精灵的特性技能。,,135,750,450,50,#000000,3,24,teachhua6101,2
6102,,升星,[#FFFFFF]  升星还能提升精炼的全部属性和克制伤害。,,135,750,450,50,#000000,3,24,teachhua6102,2
6103,,升星,"[#FFFFFF]  资源够了,点击升星按钮就能升星啦！",,135,750,450,50,#000000,3,24,teachhua6103,2
6200,,快速战斗,[#FFFFFF]  点击快速战斗试试吧~,,135,750,450,50,#000000,3,24,teachhua6200,
6201,,快速战斗,[#FFFFFF]  快速战斗可以获得很多战斗奖励。,,135,750,450,50,#000000,3,24,teachhua6201,2
6202,,快速战斗,[#FFFFFF]  点击免费拿战斗奖励吧~,,135,750,450,50,#000000,3,24,teachhua6202,2
6300,,装备精炼,"[#FFFFFF]  点击装备看看,装备对所有精灵都有用哦~",,135,750,450,50,#000000,3,24,teachhua6300,2
6301,,装备精炼,[#FFFFFF]  点击精炼页签看看吧~,,135,530,450,50,#000000,3,24,teachhua6301,2
6302,,装备精炼,[#FFFFFF]  我们先选择第一个装备试试看~,,135,750,450,50,#000000,3,24,teachhua6302,2
6303,,装备精炼,[#FFFFFF]  点击精炼按钮就精炼成功啦~,,135,530,450,50,#000000,3,24,teachhua6303,2
6400,,装备强化,"[#FFFFFF]  点击装备看看,装备对所有精灵都有用哦~",,135,750,450,50,#000000,3,24,teachhua6300,2
6401,,装备强化,[#FFFFFF]  点击强化页签看看吧~,,135,530,450,50,#000000,3,24,teachhua6401,2
6402,,装备强化,[#FFFFFF]  我们先选择第一个装备试试看~,,135,750,450,50,#000000,3,24,teachhua6302,2
6403,,装备强化,[#FFFFFF]  点击强化按钮就强化成功啦~,,135,530,450,50,#000000,3,24,teachhua6403,2
6500,,装备附魔,"[#FFFFFF]  点击装备看看,装备对所有精灵都有用哦~",,135,750,450,50,#000000,3,24,teachhua6300,2
