图片ID,注释,图片资源名,是否左右镜像（1为是）,图片坐标X,图片坐标Y,图片宽度,图片高度,音频内容(文件名字表示）,辅助功能分类,从上方计算坐标（1为从上方计算，2为从中间计算，不填或者填0从下方计算）
number,string,string,number,number,number,number,number,string,string,number
ID,Zhushi,Resourses,OverTurn,X,Y,W,H,audio,ZhushiType1,FromLeft
1,全屏遮罩图,,,0,0,720,1100,,,
901,进入游戏后的人物,teach/kaichangtu,,0,0,720,1100,,,
902,人物介绍高亮,,,-5,-5,1,1,,,
1001,进入游戏后点击开始战斗的人物,teach/kaichangrenwu,,435,490,228,297,,,
1002,进入游戏后点击开始战斗的对话框,teach/teachhuakuang,,115,660,550,160,,,
1003,进入游戏后点击开始战斗的继续箭头,teach/teachhuakuangjiantou,,474,782,24,16,,,
1004,进入游戏后点击开始战斗的缩放框,teach/suofangkuang,,258,899,207,101,,,
1005,进入游戏后点击开始战斗的手指,teach/shou2,,349,942,103,93,,,
1006,进入游戏后点击开始战斗的区域,,,306,929,113,60,,,
1007,进入游戏后点击开始战斗的对话,teach/1,,125,660,550,160,teachtu1,,
1008,进入游戏后点击开始战斗的缩放框高亮,,,248,889,227,121,,,
2001,第1关战斗自己宝可梦人物1,teach/kaichangrenwu,,435,490,228,297,,,2
2002,第1关战斗自己宝可梦对话框1,teach/teachhuakuang,,115,660,550,160,,,2
2003,第1关战斗自己宝可梦对话框箭头1,teach/teachhuakuangjiantou,,474,782,24,16,,,
2004,第1关战斗自己宝可梦缩放框1,teach/suofangkuang,,16,588,102,111,,,2
2005,第1关战斗自己宝可梦对话图片1,teach/2,,125,660,550,160,teachtu2,,2
2006,第1关战斗自己宝可梦缩放框高亮,,,6,578,122,131,,,2
2101,第1关战斗对方宝可梦引导人物2,teach/kaichangrenwu,,435,40,228,297,,,2
2102,第1关战斗对方宝可梦对话框2,teach/teachhuakuang,,115,210,550,160,,,2
2103,第1关战斗对方宝可梦对话框箭头2,teach/teachhuakuangjiantou,,474,782,24,16,,,
2104,第1关战斗对方宝可梦缩放框2,teach/suofangkuang,,403,490,204,307,,,2
2105,第1关战斗对方宝可梦对话图片2,teach/3,,125,210,550,160,teachtu3,,2
2106,第1关战斗对方宝可梦缩放框高亮,,,393,480,224,327,,,2
2201,第1关战斗出手顺序引导人物3,teach/kaichangrenwu,,435,140,228,297,,,2
2202,第1关战斗出手顺序引导对话框3,teach/teachhuakuang,,115,310,550,160,,,2
2203,第1关战斗出手顺序引导对话框箭头3,teach/teachhuakuangjiantou,,474,782,24,16,,,
2204,第1关战斗出手顺序引导缩放框3,teach/suofangkuang,,2,30,450,186,,,1
2205,第1关战斗出手顺序引导对话图片3,teach/4,,125,310,550,160,teachtu4,,2
2206,第1关战斗出手顺序引导缩放框高亮,,,2,30,450,186,,,1
2301,第1关战斗天气引导人物4,teach/kaichangrenwu,,435,140,228,297,,,1
2302,第1关战斗天气引导对话框4,teach/teachhuakuang,,115,310,550,160,,,1
2303,第1关战斗天气引导对话框箭头4,teach/teachhuakuangjiantou,,474,782,24,16,,,
2304,第1关战斗天气引导缩放框4,teach/suofangkuang,,5,0,550,70,,,1
2305,第1关战斗天气引导对话图片4,teach/5,,125,310,550,160,teachtu5,,1
2306,第1关战斗天气引导缩放框高亮,,,5,0,550,70,,,1
2401,第1关战斗技能Sp引导人物4,teach/kaichangrenwu,,435,490,228,297,,,
2402,第1关战斗技能Sp引导对话框4,teach/teachhuakuang,,115,660,550,160,,,
2403,第1关战斗技能Sp引导对话框箭头4,teach/teachhuakuangjiantou,,474,782,24,16,,,
2404,第1关战斗技能Sp引导缩放框4,teach/suofangkuang,,117,878,114,101,,,
2405,第1关战斗技能Sp引导对话图片4,teach/6,,125,660,550,160,teachtu6,,
2406,第1关战斗技能Sp引导缩放框高亮,,,117,878,114,101,,,
2501,第1关战斗效果引导人物4,teach/kaichangrenwu,,435,40,228,297,,,2
2502,第1关战斗效果引导对话框4,teach/teachhuakuang,,115,210,550,160,,,2
2503,第1关战斗效果引导对话框箭头4,teach/teachhuakuangjiantou,,474,782,24,16,,,
