"新手任务进度,同一阶段任务采用相同的进度(弱引导ID>=10000，每个不同的弱引导ID应以10000为单位增加)",引导序列ID,进入界面时触发，此时玩家最后进入的关卡为TimeLevel，Wave应为0,事件触发关卡,事件触发的功能开发id,玩家在关卡某一波怪时触发，波数为0时表示进入界面时触发,功能筛选辅助,注释,固定背景图,体验关卡时的人物装备（战士武器ID;衣服ID;戒指ID|骑士..|法师..|牧师..）ID填-1则使用玩家默认的装备，0则不装备,背景图2，层级大于前两个图，多张图片ID用';'隔开,高亮显示背景图，此时除了背景图外的部分变灰色,"强制点击图，出现时玩家必须点击这个位置才能继续，多个ID用','隔开",强制点击图，出现时玩家必须点击任意位置才能继续,"文字内容，多个内容ID用','隔开",是否图片中断(1为中断）,仅用于保存进度,是否不保存（填了1就不保存进度）
number,number,string,number,number,number,string,string,number,number,string,number,number,number,string,number,number,number
Progress,ProgressId,SceneName,TimeLevel,FunctionopenId,Wave,ZhushiType,Zhushi,BackGround1,DownPicture,BackGround2,LightPicture,ClickThis,ClickAny,Dialog,PictureBreak,Save,Nosave
1001,1,挂机,1,,,,进入挂机的第一张图,1,,,901,,1,,,,
1001,2,挂机,1,,,,引导玩家点击引导任务,,,3201;3202;3204;3205;3208,3207,3206,,,1,,
1002,3,扭蛋,1,,,,引导玩家点击高级扭蛋,,,4001;4002;4004;4006;4007,4008,4005,,,1,,
1002,4,扭蛋,1,,,,引导确定,,,4009;4010,,4012,,,,,
1002,5,扭蛋,1,,,,引导冒险,,,4013;4014,,4016,,,,,
1003,6,挂机,1,,,,引导玩家点击领取奖励,,,5001;5002;5004;5006;5008,5007,5005,,,1,,
1003,7,挂机,1,,,,引导玩家点击引导任务（上阵）,,,3201;3202;3204;3205;3208,3207,3206,,,1,,
1004,8,挂机,1,,,,引导玩家跟着手指继续,,,3201;3202;3204;3205;3208,3207,,,,1,,
1005,9,战斗,1,,,,标识自己宝可梦,1,,2001;2002;2004;2005,2006,,,,,,
1005,10,战斗,1,,,,标识对方宝可梦,1,,2101;2102;2104;2105,2106,,,,,,
1005,11,战斗,1,,,,说明出手顺序,1,,2201;2202;2204;2205,2206,,,,,,
1005,12,战斗,1,,,,说明天气,1,,2301;2302;2304;2305,2306,,,,,,
1005,13,战斗,1,,,,说明技能消耗,1,,2401;2402;2404;2405,2406,,,,,,
1005,14,战斗,1,,,,说明克制关系,1,,2501;2502;2505;2504;2507,,,,,,,
1005,15,战斗,1,,,,引导点击攻击,,,2601;2602;2604;2605;2606,,2607,,,1,,
1006,16,挂机,2,,,,引导玩家跟着手指继续,,,3201;3202;3204;3205,3207,,,,1,,
1007,17,战斗,2,,,,第2关引导点击攻击1,1,,5401;5402;5406,,,,,,,
1007,18,战斗,2,,,,第2关引导点击攻击2,,,5401;5402;5404;5405;5409,,5407,,,1,,
