VIP等级,门槛(充值元),vip大礼包,vip大礼包价格,每日领取道具(道具id;数量）,每日快速战斗免费次数,最大购买次数（-1为无限购买次数）,每日普通竞技场次数,每日特殊副本次数（每个副本的次数，除携带品副本外）,每日可买爬塔次数,每日爬塔重置次数,"自动爬塔每层时间(0为不开启,单位秒)",特殊副本扫荡开启（不填不开，1开启，开启后一件扫荡5次）,自动挖矿每块时间(s)（0为不开自动挖矿）,探索力上限增加,宝可梦生命值，物攻，特攻，物防，特防，速度增加(百分比增加—值/100）,神秘商店,每日碎片兑换,每日抓宠上限,挂机精灵,挂机道具,公会钻石捐赠次数,战斗地铁购买次数,战斗地铁是否开启自动战斗,道馆vip免费重置次数,道馆vip付费重置次数,增加个体洗练次数增加,万能铃铛使用次数,特殊副本次数回复上限（每个特殊副本的次数回复的上限次数，除携带品副本外）,矿洞站队伍解锁,每日携带品副本次数,每日携带品副本回复次数
number,number,string,number,string,number,number,number,number,number,number,number,number,number,number,double,double,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
level,threshold,Vipitems,price,giveItme,quickBattle,quickBattleBuy,pvpBuyCount,spDunBuyCount,spChangeBuyCount,spChangeAgainCount,autoChangeTime,spDunPass,autoMiningTime,MiningCostUp,abilityAdd,Discount,DebrisSwap,WaitElfCount,Awaitspirit,AwaitItme,Diamondtime,bsChangeAgainCount,bsAutoBattle,GYMResetCount,GYMResetForPay,AddIVTimes,Universal,spDunRecover,TreasureUnlock,Carry,CarryRecover
0,0,3;5000|10001;10|10011;10|13001;5,588,,1,0,10,0,1,1,,,,,,,1,5,,,1,1,,2,1,10,0,0,2,1,0
1,6,10012;5|12152;5|12151;50|13001;10,888,,1,0,10,0,1,1,,,,,0,,2,10,,,1,1,,2,1,20,0,0,2,1,0
2,25,12101;20|12102;20|12103;20|10012;10,1888,,1,1,10,0,1,1,,,,,0,,3,15,,,1,1,,2,1,300,10,1,2,1,1
3,50,10503;1|12104;10|12105;10|12106;10,2888,,1,2,10,0,1,1,,,,10,0,,3,20,1,1,1,1,,2,1,300,20,1,2,1,1
4,98,601090;40|12107;30|13002;1|10013;3,5888,,1,3,10,0,1,1,,,60,10,0,,3,25,1,1,2,1,,2,2,300,30,1,3,1,1
5,288,10504;1|12152;30|12107;20|12108;20,8888,,2,3,10,0,1,1,,,45,15,0,,3,30,1,1,2,2,,2,2,300,50,2,3,2,2
6,498,601658;140|12230;4|10013;5|10143;20,13888,,2,4,10,0,2,2,,,30,15,0,,4,35,2,2,2,2,,2,2,300,70,2,3,2,2
7,968,10513;1|12211;5|12243;5|12247;5,15888,,2,5,10,1,2,2,,,25,15,0,,5,40,2,2,3,2,,2,2,300,100,2,3,2,2
8,1588,10013;10|12238;5|12008;50|601130;50,18888,,2,6,10,1,2,2,,,20,15,0,,7,45,2,2,3,2,,2,2,300,200,2,3,3,2
9,2688,13003;1|12233;20|12228;20|601130;80,28888,,2,6,10,1,2,2,,,15,20,0,,10,50,3,3,3,2,,2,3,300,300,2,4,3,2
10,4988,10517;1|12223;20|12248;20|601130;120,38888,,3,7,10,2,3,3,,,15,20,0,,15,55,3,3,3,2,,2,3,300,500,2,4,3,2
11,8888,13003;1|12243;20|12238;20|601130;240,48888,,4,8,10,2,4,3,40,1,8,30,0,,20,55,3,3,3,3,1,2,3,300,600,2,4,3,2
12,14688,10089;100|13062;20|13066;1000|12111;200,58888,,4,9,10,3,4,3,30,1,7,40,0,,25,60,4,4,4,3,1,2,3,300,800,2,4,4,2
13,21888,10089;150|13062;30|13066;1500|12111;300,68888,,5,9,10,3,5,4,20,1,6,50,0,,35,60,4,4,4,3,1,2,4,300,1000,2,5,4,2
14,32888,10089;200|13062;40|13066;2000|12111;400,78888,,5,10,10,3,5,4,20,1,5,60,0,,40,65,4,4,4,4,1,2,4,300,1200,2,5,4,2
15,46888,12301;200|12400;1000|12401;1000|10090;80,98888,,5,11,10,3,5,4,20,1,3,70,0,,45,65,5,5,4,4,1,2,4,300,1400,3,5,4,3
16,62888,12301;300|12400;2000|12401;2000|10090;120,138888,,5,12,10,3,6,5,20,1,2,70,0,,50,70,5,5,5,4,1,2,4,300,1600,3,5,4,3
17,79888,12301;400|12400;3000|12401;3000|10090;150,188888,,5,13,10,3,6,5,20,1,1,80,0,,55,75,5,5,5,4,1,2,4,300,1800,3,5,4,3
