序号,平台id,礼包类型 0:普通(可不填) 1：单次礼包 2周循环礼包 3 节日礼包 4 特权礼包 5 VIP礼包 6积分礼包,奖励,邮件标题,邮件内容,领取限制（不填无限制）
number,string,number,string,string,string,number
ID,ItemId,type,Reward,MailHeadline,MailContent,limit
1001,0,0,2;50|12151;20|12152;5,每日分享礼包,亲爱的训练师，以下为您今日的礼包奖励！连续分享7天即可获得高额奖励哦！,
2001,0,0,2;200|13002;1|12008;5,累计分享礼包,亲爱的训练师，恭喜您达成了连续7天分享的壮举，以下是您的奖励！,
3001,0,0,10003;20|10086;10|13001;10,收藏礼包,亲爱的训练师，感谢您收藏我们的游戏，以下为您的收藏礼包奖励，还请您多多支持我们的游戏！,
1,1001,1,12151;20|12152;5|12007;5|10089;5|10703;1,新手礼包,亲爱的训练师，准备好开始新的冒险了吗？领取礼包马上出发吧！,
2,1002,1,1;200000|2;200|10703;3|13002;3,QQ空间专属礼包,亲爱的训练师，感谢您对我们游戏的支持，礼包送上以表感谢！,
3,1101,2,13004;1|12002;5|10011;5|10001;5|10702;1,周一礼包,今天是周一，这是您的周一礼物，请接收。,
4,1102,2,13004;1|12002;5|10011;5|10001;5|10702;1,周二礼包,今天是周二，这是您的周二礼物，请接收。,
5,1103,2,13004;1|12002;5|10011;5|10001;5|10702;1,周三礼包,今天是周三，这是您的周三礼物，请接收。,
6,1104,2,13004;1|12002;5|10011;5|10001;5|10702;1,周四礼包,今天是周四，这是您的周四礼物，请接收。,
7,1105,2,13004;1|12002;5|10011;5|10001;5|10702;1,周五礼包,今天是周五，这是您的周五礼物，请接收。,
8,1106,2,13004;1|12002;5|10012;5|10002;5|10702;1,周六礼包,今天是周六，这是您的周六礼物，请接收。,
9,1107,2,13004;1|12002;5|10012;5|10002;5|10702;1,周日礼包,今天是周日，这是您的周日礼物，请接收。,
10,1201,3,2;188|1;100000|10703;1,元旦礼包,亲爱的训练师，祝您元旦节快乐，为您送上元旦礼包一份！,
11,1202,3,2;300|1;500000|10703;3|12007;5,春节礼包,亲爱的训练师，祝您春节快乐，为您送上春节大礼包一份，祝愿您新的一年万事顺利！,
12,1203,3,2;188|1;100000,元宵节礼包,亲爱的训练师，今天是元宵佳节，请收下这份元宵礼包，祝您元宵节快乐！,
13,1204,3,2;99|1;50000|12007;5,情人节礼包,情人节到了，亲爱的训练师，请收下这份与您不期而遇的礼物吧！,
14,1205,3,2;66|1;50000,妇女节礼包,亲爱的训练师，妇女节礼包为您送上~,
15,1206,3,2;66|1;50000,青年节礼包,亲爱的训练师，请收下青年节的礼物，要当一个志存高远的青年啊！,
16,1207,3,2;66|1;50000,清明节礼包,亲爱的训练师，清明节礼包请您收下~,
17,1208,3,2;188|1;100000|10703;1,劳动节礼包,今天是劳动节，亲爱的训练师是否也忙碌了起来，这份礼物属于辛勤的劳动者！,
18,1209,3,2;300|1;50000|10703;1|12007;5,端午节礼包,亲爱的训练师，端午节礼包为您送上！,
19,1210,3,2;66|1;50000,儿童节礼包,亲爱的训练师，这是您的儿童节礼物！有童心的人年年都过儿童节！,
20,1211,3,2;300|1;500000|10703;3,中秋节礼包,中秋时节，亲爱的训练师是否有想起谁思念谁？中秋礼包还请不要忘记接收。,
21,1212,3,2;66|1;50000,重阳节礼包,亲爱的训练师，这是您的重阳节礼包，请接收。,
22,1213,3,2;99|1;50000|12007;5,七夕节礼包,亲爱的训练师，七夕佳节，请收下这份寄托美好祝愿的礼物~,
23,1214,3,2;300|1;500000|10703;3|12007;5,国庆节礼包,国庆节到了，亲爱的训练师，请收下您的国庆节礼包！,
24,,4,1;100000,VIP1特权,VIP1的特权礼包！,
25,,4,1;200000|12152;20,VIP2特权,VIP2的特权礼包！,
26,,4,1;300000|12152;40,VIP3特权,VIP3的特权礼包！,
27,,4,1;400000|12152;60|10086;10,VIP4特权,VIP4的特权礼包！,
28,,4,1;500000|12152;80|10086;20,VIP5特权,VIP5的特权礼包！,
29,,4,1;600000|12152;100|10086;30,VIP6特权,VIP6的特权礼包！,
30,1401,6,1;50000|2;100,小精灵入门礼包,训练师，恭喜你已经入门了！请收下这份入门礼包。,
31,1402,6,1;100000|2;200,小精灵至尊礼包,训练师，你已经证明了自己强大的实力，这份至尊礼包非你莫属！,
32,1301,5,1;50000|13004;1, V1礼包,亲爱的训练师，这是您的V1礼包，感谢您对我们游戏的支持！,
33,1302,5,1;100000|13004;1|10089;10, V2礼包,亲爱的训练师，这是您的V2礼包，感谢您对我们游戏的支持！,
34,1303,5,1;500000|13004;2|10703;1|12111;10, V3礼包,亲爱的训练师，这是您的V3礼包，感谢您对我们游戏的支持！,
35,1304,5,1;1000000|13004;2|10703;2|12111;20, V4礼包,亲爱的训练师，这是您的V4礼包，感谢您对我们游戏的支持！,
36,1305,5,1;1500000|13004;5|10703;3|12111;30, V5礼包,亲爱的训练师，这是您的V5礼包，感谢您对我们游戏的支持！,
37,1306,5,1;2000000|13002;1|10703;5|12111;50, V6礼包,亲爱的训练师，这是您的V6礼包，感谢您对我们游戏的支持！,
