翅膀ID,类型,解锁条件（1.主角等级 2.VIP限制）满足条件才能升级,是否可以佩戴（默认（不填）不能佩戴，1可以佩戴）,升级材料ID,升级需要羽毛数量,下一级翅膀ID,翅膀名字,等级,效果引用id,前置
number,number,string,number,number,number,number,string,number,number,number
id,type,limitLV,boolEquip,upItems,scoreItems,nextId,name,level,effectId,front
30000,1,1;36,,12400,100,30001,天使之翼,0,300000,
30001,1,1;36,1,12400,180,30002,天使之翼+1,1,300001,
30002,1,1;36,1,12400,270,30003,天使之翼+2,2,300002,
30003,1,1;36,1,12400,370,30004,天使之翼+3,3,300003,
30004,1,1;36,1,12400,480,30005,天使之翼+4,4,300004,
30005,1,1;36,1,12400,600,30006,天使之翼+5,5,300005,
30006,1,1;36,1,12400,730,30007,天使之翼+6,6,300006,
30007,1,1;36,1,12400,870,30008,天使之翼+7,7,300007,
30008,1,1;36,1,12400,1020,30009,天使之翼+8,8,300008,
30009,1,1;36,1,12400,1180,30010,天使之翼+9,9,300009,
30010,1,1;36,1,,,,天使之翼+10,10,300010,
30100,2,1;36,,12400,270,30101,平凡之翼,0,300100,30010
30101,2,1;36,1,12400,370,30102,平凡之翼+1,1,300101,30010
30102,2,1;36,1,12400,480,30103,平凡之翼+2,2,300102,30010
30103,2,1;36,1,12400,600,30104,平凡之翼+3,3,300103,30010
30104,2,1;36,1,12400,730,30105,平凡之翼+4,4,300104,30010
30105,2,1;36,1,12400,870,30106,平凡之翼+5,5,300105,30010
30106,2,1;36,1,12400,1020,30107,平凡之翼+6,6,300106,30010
30107,2,1;36,1,12400,1180,30108,平凡之翼+7,7,300107,30010
30108,2,1;36,1,12400,1350,30109,平凡之翼+8,8,300108,30010
30109,2,1;36,1,12400,1530,30110,平凡之翼+9,9,300109,30010
30110,2,1;36,1,,,,平凡之翼+10,10,300110,30010
30200,3,1;36,,12400,480,30201,飞鸟之翼,0,300200,30110
30201,3,1;36,1,12400,600,30202,飞鸟之翼+1,1,300201,30110
30202,3,1;36,1,12400,730,30203,飞鸟之翼+2,2,300202,30110
30203,3,1;36,1,12400,870,30204,飞鸟之翼+3,3,300203,30110
30204,3,1;36,1,12400,1020,30205,飞鸟之翼+4,4,300204,30110
30205,3,1;36,1,12400,1180,30206,飞鸟之翼+5,5,300205,30110
30206,3,1;36,1,12400,1350,30207,飞鸟之翼+6,6,300206,30110
30207,3,1;36,1,12400,1530,30208,飞鸟之翼+7,7,300207,30110
30208,3,1;36,1,12400,1720,30209,飞鸟之翼+8,8,300208,30110
30209,3,1;36,1,12400,1920,30210,飞鸟之翼+9,9,300209,30110
30210,3,1;36,1,,,,飞鸟之翼+10,10,300210,30110
30300,4,1;36,,12400,730,30301,疾风之翼,0,300300,30210
30301,4,1;36,1,12400,870,30302,疾风之翼+1,1,300301,30210
30302,4,1;36,1,12400,1020,30303,疾风之翼+2,2,300302,30210
30303,4,1;36,1,12400,1180,30304,疾风之翼+3,3,300303,30210
30304,4,1;36,1,12400,1350,30305,疾风之翼+4,4,300304,30210
30305,4,1;36,1,12400,1530,30306,疾风之翼+5,5,300305,30210
30306,4,1;36,1,12400,1720,30307,疾风之翼+6,6,300306,30210
30307,4,1;36,1,12400,1920,30308,疾风之翼+7,7,300307,30210
30308,4,1;36,1,12400,2130,30309,疾风之翼+8,8,300308,30210
30309,4,1;36,1,12400,2350,30310,疾风之翼+9,9,300309,30210
30310,4,1;36,1,,,,疾风之翼+10,10,300310,30210
30400,5,2;6,,12400,1020,30401,漆黑之翼,0,300400,30310
30401,5,2;6,1,12400,1180,30402,漆黑之翼+1,1,300401,30310
30402,5,2;6,1,12400,1350,30403,漆黑之翼+2,2,300402,30310
30403,5,2;6,1,12400,1530,30404,漆黑之翼+3,3,300403,30310
30404,5,2;6,1,12400,1720,30405,漆黑之翼+4,4,300404,30310
30405,5,2;6,1,12400,1920,30406,漆黑之翼+5,5,300405,30310
30406,5,2;6,1,12400,2130,30407,漆黑之翼+6,6,300406,30310
30407,5,2;6,1,12400,2350,30408,漆黑之翼+7,7,300407,30310
30408,5,2;6,1,12400,2580,30409,漆黑之翼+8,8,300408,30310
30409,5,2;6,1,12400,2820,30410,漆黑之翼+9,9,300409,30310
30410,5,2;6,1,,,,漆黑之翼+10,10,300410,30310
30500,6,2;8,,12400,1350,30501,精灵之翼,0,300500,30410
30501,6,2;8,1,12400,1530,30502,精灵之翼+1,1,300501,30410
30502,6,2;8,1,12400,1720,30503,精灵之翼+2,2,300502,30410
30503,6,2;8,1,12400,1920,30504,精灵之翼+3,3,300503,30410
30504,6,2;8,1,12400,2130,30505,精灵之翼+4,4,300504,30410
30505,6,2;8,1,12400,2350,30506,精灵之翼+5,5,300505,30410
30506,6,2;8,1,12400,2580,30507,精灵之翼+6,6,300506,30410
30507,6,2;8,1,12400,2820,30508,精灵之翼+7,7,300507,30410
30508,6,2;8,1,12400,3070,30509,精灵之翼+8,8,300508,30410
30509,6,2;8,1,12400,3330,30510,精灵之翼+9,9,300509,30410
30510,6,2;8,1,,,,精灵之翼+10,10,300510,30410
30600,7,2;9,,12400,1350,30601,光明之翼,0,300600,30510
30601,7,2;9,1,12400,1530,30602,光明之翼+1,1,300601,30510
30602,7,2;9,1,12400,1720,30603,光明之翼+2,2,300602,30510
30603,7,2;9,1,12400,1920,30604,光明之翼+3,3,300603,30510
30604,7,2;9,1,12400,2130,30605,光明之翼+4,4,300604,30510
30605,7,2;9,1,12400,2350,30606,光明之翼+5,5,300605,30510
30606,7,2;9,1,12400,2580,30607,光明之翼+6,6,300606,30510
30607,7,2;9,1,12400,2820,30608,光明之翼+7,7,300607,30510
30608,7,2;9,1,12400,3070,30609,光明之翼+8,8,300608,30510
30609,7,2;9,1,12400,3330,30610,光明之翼+9,9,300609,30510
30610,7,2;9,1,,,,光明之翼+10,10,300610,30510
30700,8,2;10,,12400,1350,30701,恶魔之翼,0,300700,30610
30701,8,2;10,1,12400,1530,30702,恶魔之翼+1,1,300701,30610
30702,8,2;10,1,12400,1720,30703,恶魔之翼+2,2,300702,30610
30703,8,2;10,1,12400,1920,30704,恶魔之翼+3,3,300703,30610
30704,8,2;10,1,12400,2130,30705,恶魔之翼+4,4,300704,30610
30705,8,2;10,1,12400,2350,30706,恶魔之翼+5,5,300705,30610
30706,8,2;10,1,12400,2580,30707,恶魔之翼+6,6,300706,30610
30707,8,2;10,1,12400,2820,30708,恶魔之翼+7,7,300707,30610
30708,8,2;10,1,12400,3070,30709,恶魔之翼+8,8,300708,30610
30709,8,2;10,1,12400,3330,30710,恶魔之翼+9,9,300709,30610
30710,8,2;10,1,,,,恶魔之翼+10,10,300710,30610
30800,9,2;11,,12400,1350,30801,自然之翼,0,300800,30710
30801,9,2;11,1,12400,1530,30802,自然之翼+1,1,300801,30710
30802,9,2;11,1,12400,1720,30803,自然之翼+2,2,300802,30710
30803,9,2;11,1,12400,1920,30804,自然之翼+3,3,300803,30710
30804,9,2;11,1,12400,2130,30805,自然之翼+4,4,300804,30710
30805,9,2;11,1,12400,2350,30806,自然之翼+5,5,300805,30710
30806,9,2;11,1,12400,2580,30807,自然之翼+6,6,300806,30710
30807,9,2;11,1,12400,2820,30808,自然之翼+7,7,300807,30710
30808,9,2;11,1,12400,3070,30809,自然之翼+8,8,300808,30710
30809,9,2;11,1,12400,3330,30810,自然之翼+9,9,300809,30710
30810,9,2;11,1,,,,自然之翼+10,10,300810,30710
30900,10,2;12,,12400,1350,30901,火龙之翼,0,300900,30810
30901,10,2;12,1,12400,1530,30902,火龙之翼+1,1,300901,30810
30902,10,2;12,1,12400,1720,30903,火龙之翼+2,2,300902,30810
30903,10,2;12,1,12400,1920,30904,火龙之翼+3,3,300903,30810
30904,10,2;12,1,12400,2130,30905,火龙之翼+4,4,300904,30810
30905,10,2;12,1,12400,2350,30906,火龙之翼+5,5,300905,30810
30906,10,2;12,1,12400,2580,30907,火龙之翼+6,6,300906,30810
30907,10,2;12,1,12400,2820,30908,火龙之翼+7,7,300907,30810
30908,10,2;12,1,12400,3070,30909,火龙之翼+8,8,300908,30810
30909,10,2;12,1,12400,3330,30910,火龙之翼+9,9,300909,30810
