特效ID,注释,"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4，目标方随机2人，5.目标方随机3人，6.目标方随机4人，11.释放者,12.释放者方全体,13.释放者方随机单体,14. 释放者方目标单体 其它.特殊规则待扩展)",BUFF时机（1.施放技能前，2.施放技能后，3.进入战斗回合，4.死亡时）,"触发条件(-1.击中目标时,-2.没击中目标时,0.一定触发,1-100.概率触发)","效果持续回合(-2.失去目标前有效,-1.当前战斗结束前有效,0.使用完立刻失效,>0.轮到作用对象行动时减1回合，减到0则效果消失)",每减少一个回合时触发的效果，引用本表id,效果结束时触发的效果，0则不触发任何效果，引用本表id(例如预知未来),类别ID,"同效果叠加(0:新生成,1:回合相加,2:无效,3:覆盖,4:同类型叠加,5:同类型无效,6:同类型覆盖)","效果类型(1正面效果,2负面效果)",效果(说明文字，程序不用),效果的持续特效资源,物攻提升百分比,物防提升百分比,特攻提升百分比,特防提升百分比,速度提升百分比,命中提升百分比,闪避提升百分比,暴击率提升百分比,暴击伤害提升百分比,最终伤害提升百分比,回复（释放者）物攻值百分比的生命值,回复（释放者）特攻值百分比的生命值,回复（释放者）生命上限百分比的生命值,回复（释放者）当前生命值百分比的生命值,回复（目标）物攻值百分比的生命值,回复（目标）特攻值百分比的生命值,回复（目标）生命上限百分比的生命值,回复（目标）当前生命值百分比的生命值,回复造成伤害百分比的生命值,随机使用技能,随机攻击目标,不能行动,解除所有负面效果,恢复SP,火系技能威力提升百分比,水系技能威力提升百分比,草系技能威力提升百分比,妖系技能威力提升百分比,恶系技能威力提升百分比,龙系技能威力提升百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,物理系技能威力提升百分比,特攻系技能威力提升百分比
number,string,number,number,number,number,number,number,number,number,number,string,number,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
id,ZHUSHI,target,timing,condition,buffRound,roundEffect,afterEffect,typeid,sameEffect,DeBuff,desc,resBuff,atk,def,atkSp,defSp,spe,hit,evade,critChance,critDamage,damage,recoverAtk,recoverAtkSp,recoverHpMax,recoverHpCur,healsAtk,healsAtkSp,healsHpMax,healsHpCur,recoverDamage,skillRan,targetRan,actNo,clean,recoverSpower,firePower,waterPower,grassPower,elePower,icePower,wrestlePower,iceSkill,ghostSkill,generalSkill,electricSkill,insectSkill,flightSkill,groundSkill,rockSkill,grappleSkill,superSkill,steelSkill,poisonSkill,atkPower,atkSpPower
1,,11,2,10,2,,,,1,1,物攻增加单,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,11,2,20,2,,,,1,1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,11,2,30,2,,,,1,1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,11,2,10,1,,,,1,1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,11,2,20,1,,,,1,1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,2,30,1,,,,1,1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,1,2,0,3,,,,1,1,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,11,2,0,3,,,,1,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,11,2,0,3,,,,1,1,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,11,2,0,0,,,,1,1,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,1,2,10,2,,,,1,2,物攻降低单,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,1,2,20,2,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,1,2,30,2,,,,1,2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
