id（无实意）,携带品稀有度,随机属性个数,权重,,,,,,,,,,,,,
number,number,number,number,,,,,,,,,,,,,
id,rare,number,weight,,,,,,,,,,,,,
1,1,0,100,,,,,,,,,,,,,
2,1,1,0,,,,,,,,,,,,,
3,1,2,0,,,,,,,,,,,,,
4,1,3,0,,,,,,,,,,,,,
5,1,4,0,,,,,,,,,,,,,
6,2,0,50,,,,,,,,,,,,,
7,2,1,50,,,,,,,,,,,,,
8,2,2,0,,,,,,,,,,,,,
9,2,3,0,,,,,,,,,,,,,
10,2,4,0,,,,,,,,,,,,,
11,3,0,0,,,,,,,,,,,,,
12,3,1,50,,,,,,,,,,,,,
13,3,2,50,,,,,,,,,,,,,
14,3,3,0,,,,,,,,,,,,,
15,3,4,0,,,,,,,,,,,,,
16,4,0,0,,,,,,,,,,,,,
17,4,1,25,,,,,,,,,,,,,
18,4,2,50,,,,,,,,,,,,,
19,4,3,25,,,,,,,,,,,,,
20,4,4,0,,,,,,,,,,,,,
21,5,0,0,,,,,,,,,,,,,
22,5,1,0,,,,,,,,,,,,,
23,5,2,50,,,,,,,,,,,,,
24,5,3,50,,,,,,,,,,,,,
25,5,4,0,,,,,,,,,,,,,
26,6,0,0,,,,,,,,,,,,,
27,6,1,0,,,,,,,,,,,,,
28,6,2,25,,,,,,,,,,,,,
29,6,3,50,,,,,,,,,,,,,
30,6,4,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
