 ,稀有度1升级经验需求,稀有度2,稀有度3,稀有度4,稀有度5,稀有度6,是否产生新属性(0否、1是）,消耗金币
number,number,number,number,number,number,number,number,number
lv,rare1,rare2,rare3,rare4,rare5,rare6,newAttribute,money
0,2500,2500,2500,2500,2500,2500,0,50000
1,3750,3750,3750,3750,3750,3750,0,100000
2,5000,5000,5000,5000,5000,5000,0,200000
3,6250,6250,6250,6250,6250,6250,1,400000
4,7500,7500,7500,7500,7500,7500,0,600000
5,8750,8750,8750,8750,8750,8750,0,800000
6,10000,10000,10000,10000,10000,10000,1,1200000
7,11250,11250,11250,11250,11250,11250,0,1600000
8,12500,12500,12500,12500,12500,12500,0,2000000
9,13750,13750,13750,13750,13750,13750,1,2800000
10,15000,15000,15000,15000,15000,15000,0,3600000
11,16250,16250,16250,16250,16250,16250,0,4400000
12,17500,17500,17500,17500,17500,17500,1,6000000
13,18750,18750,18750,18750,18750,18750,0,7600000
14,20000,20000,20000,20000,20000,20000,0,9200000
15,999999,999999,999999,999999,999999,999999,1,12000000
