携带品id,携带品图标,携带品类型(同类型4件激活套装效果）,携带品类型名称,携带品描述,套装效果描述,携带品稀有度,携带品位置（位置对应携带品栏1234）,套装效果ID,掉落权重,基础属性（携带品第一属性,强化等级1,强化等级2,强化等级3,强化等级4,强化等级5,强化等级6,强化等级7,强化等级8,强化等级9,强化等级10,强化等级11,强化等级12,强化等级13,强化等级14,强化等级15
number,string,number,string,string,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
id,icon,type,name,jieshao,EffectDescribe,rare,position,Suiteffect,weight,basicAttributes,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14,lv15
700101,4251,1,猛击,猛击携带品1号位，穿戴4件可激活套装效果:猛击,物攻提高5%,1,1,30001,10,21100,21101,21102,21103,21104,21105,21106,21107,21108,21109,21110,21111,21112,21113,21114,21115
700102,4251,1,猛击,猛击携带品2号位，穿戴4件可激活套装效果:猛击,物攻提高5%,1,2,30001,10,21200,21201,21202,21203,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215
700103,4251,1,猛击,猛击携带品3号位，穿戴4件可激活套装效果:猛击,物攻提高5%,1,3,30001,10,21300,21301,21302,21303,21304,21305,21306,21307,21308,21309,21310,21311,21312,21313,21314,21315
700104,4251,1,猛击,猛击携带品4号位，穿戴4件可激活套装效果:猛击,物攻提高5%,1,4,30001,10,21400,21401,21402,21403,21404,21405,21406,21407,21408,21409,21410,21411,21412,21413,21414,21415
700105,4251,1,猛击,猛击携带品1号位，穿戴4件可激活套装效果:猛击,物攻提高7%,2,1,30011,10,22100,22101,22102,22103,22104,22105,22106,22107,22108,22109,22110,22111,22112,22113,22114,22115
700106,4251,1,猛击,猛击携带品2号位，穿戴4件可激活套装效果:猛击,物攻提高7%,2,2,30011,10,22200,22201,22202,22203,22204,22205,22206,22207,22208,22209,22210,22211,22212,22213,22214,22215
700107,4251,1,猛击,猛击携带品3号位，穿戴4件可激活套装效果:猛击,物攻提高7%,2,3,30011,10,22300,22301,22302,22303,22304,22305,22306,22307,22308,22309,22310,22311,22312,22313,22314,22315
700108,4251,1,猛击,猛击携带品4号位，穿戴4件可激活套装效果:猛击,物攻提高7%,2,4,30011,10,22400,22401,22402,22403,22404,22405,22406,22407,22408,22409,22410,22411,22412,22413,22414,22415
